System Uptime[ms] 77754,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.82,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.20,Airdata AoA[deg] 15.21,Airdata AoS[deg] -2.08,Airdata VCAS[m/s] 0.18,Airdata VTAS[m/s] 0.20,BMP280_0 P[Pa] 99804.98, BMP280_0 Tpackage[C] 25.50, HTU21DF_0 RH[%] 53.62, HTU21DF_0 Tpackage[C] 24.46, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 23.90, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 24.90, D6F-PH0025AD1_2 q[Pa] 0.15, D6F-PH0025AD1_2 Tpackage[C] 24.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.05, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1805839539, GPS_0 longitude[deg] -1.0339590311, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 28, GPS_0 hours[-] 17, GPS_0 minutes[-] 8, GPS_0 seconds[-] 32, ;
System Uptime[ms] 78211,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.82,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.20,Airdata AoA[deg] -3.41,Airdata AoS[deg] -1.40,Airdata VCAS[m/s] 0.19,Airdata VTAS[m/s] 0.20,BMP280_0 P[Pa] 99804.84, BMP280_0 Tpackage[C] 25.50, HTU21DF_0 RH[%] 53.55, HTU21DF_0 Tpackage[C] 24.46, D6F-PH0025AD1_0 q[Pa] 0.10, D6F-PH0025AD1_0 Tpackage[C] 23.70, D6F-PH0025AD1_1 q[Pa] 0.01, D6F-PH0025AD1_1 Tpackage[C] 24.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 24.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.05, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1805801392, GPS_0 longitude[deg] -1.0339593887, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 28, GPS_0 hours[-] 17, GPS_0 minutes[-] 8, GPS_0 seconds[-] 33, ;
System Uptime[ms] 78668,System VBATTcell0[V] 3.94,System VBATTcell1[V] 3.87,System VBATTcell2[V] 3.82,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.20,Airdata AoA[deg] -3.89,Airdata AoS[deg] -2.19,Airdata VCAS[m/s] 0.19,Airdata VTAS[m/s] 0.20,BMP280_0 P[Pa] 99805.77, BMP280_0 Tpackage[C] 25.50, HTU21DF_0 RH[%] 53.79, HTU21DF_0 Tpackage[C] 24.46, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 23.90, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 24.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 25.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.05, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1805801392, GPS_0 longitude[deg] -1.0339593887, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 28, GPS_0 hours[-] 17, GPS_0 minutes[-] 8, GPS_0 seconds[-] 33, ;
System Uptime[ms] 79125,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.87,System VBATTcell2[V] 3.83,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.20,Airdata AoA[deg] -3.77,Airdata AoS[deg] -2.12,Airdata VCAS[m/s] 0.18,Airdata VTAS[m/s] 0.20,BMP280_0 P[Pa] 99804.77, BMP280_0 Tpackage[C] 25.50, HTU21DF_0 RH[%] 53.91, HTU21DF_0 Tpackage[C] 24.47, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 23.90, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 24.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 24.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.05, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1805801392, GPS_0 longitude[deg] -1.0339593887, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 28, GPS_0 hours[-] 17, GPS_0 minutes[-] 8, GPS_0 seconds[-] 34, ;
System Uptime[ms] 79582,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.82,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.20,Airdata AoA[deg] -3.66,Airdata AoS[deg] -2.06,Airdata VCAS[m/s] 0.18,Airdata VTAS[m/s] 0.20,BMP280_0 P[Pa] 99805.43, BMP280_0 Tpackage[C] 25.50, HTU21DF_0 RH[%] 53.68, HTU21DF_0 Tpackage[C] 24.46, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 23.90, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 24.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 24.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.05, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1805801392, GPS_0 longitude[deg] -1.0339593887, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 28, GPS_0 hours[-] 17, GPS_0 minutes[-] 8, GPS_0 seconds[-] 34, ;
System Uptime[ms] 80064,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.82,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.20,Airdata AoA[deg] -3.55,Airdata AoS[deg] -2.00,Airdata VCAS[m/s] 0.17,Airdata VTAS[m/s] 0.14,BMP280_0 P[Pa] 99803.84, BMP280_0 Tpackage[C] 25.50, HTU21DF_0 RH[%] 53.42, HTU21DF_0 Tpackage[C] 24.47, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 23.70, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 24.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 24.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.05, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1805801392, GPS_0 longitude[deg] -1.0339591503, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 28, GPS_0 hours[-] 17, GPS_0 minutes[-] 8, GPS_0 seconds[-] 35, ;
System Uptime[ms] 80521,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.82,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.20,Airdata AoA[deg] -3.45,Airdata AoS[deg] -1.95,Airdata VCAS[m/s] 0.17,Airdata VTAS[m/s] 0.14,BMP280_0 P[Pa] 99805.05, BMP280_0 Tpackage[C] 25.50, HTU21DF_0 RH[%] 52.94, HTU21DF_0 Tpackage[C] 24.46, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 23.90, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 24.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 24.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.05, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1805801392, GPS_0 longitude[deg] -1.0339591503, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 28, GPS_0 hours[-] 17, GPS_0 minutes[-] 8, GPS_0 seconds[-] 35, ;
System Uptime[ms] 80978,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.83,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.20,Airdata AoA[deg] -3.34,Airdata AoS[deg] -1.89,Airdata VCAS[m/s] 0.16,Airdata VTAS[m/s] 0.14,BMP280_0 P[Pa] 99807.36, BMP280_0 Tpackage[C] 25.50, HTU21DF_0 RH[%] 52.54, HTU21DF_0 Tpackage[C] 24.46, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 23.70, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 24.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 24.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.05, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1805801392, GPS_0 longitude[deg] -1.0339585543, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 28, GPS_0 hours[-] 17, GPS_0 minutes[-] 8, GPS_0 seconds[-] 36, ;
System Uptime[ms] 81435,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.81,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.20,Airdata AoA[deg] -3.25,Airdata AoS[deg] -1.84,Airdata VCAS[m/s] 0.16,Airdata VTAS[m/s] 0.14,BMP280_0 P[Pa] 99804.98, BMP280_0 Tpackage[C] 25.50, HTU21DF_0 RH[%] 52.17, HTU21DF_0 Tpackage[C] 24.47, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 23.90, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 24.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 25.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.05, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1805801392, GPS_0 longitude[deg] -1.0339585543, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 28, GPS_0 hours[-] 17, GPS_0 minutes[-] 8, GPS_0 seconds[-] 36, ;
System Uptime[ms] 81892,System VBATTcell0[V] 3.94,System VBATTcell1[V] 3.87,System VBATTcell2[V] 3.82,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.20,Airdata AoA[deg] -3.15,Airdata AoS[deg] -1.78,Airdata VCAS[m/s] 0.15,Airdata VTAS[m/s] 0.14,BMP280_0 P[Pa] 99804.89, BMP280_0 Tpackage[C] 25.50, HTU21DF_0 RH[%] 51.93, HTU21DF_0 Tpackage[C] 24.47, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 23.90, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 24.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 24.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.05, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1805763245, GPS_0 longitude[deg] -1.0339579582, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 28, GPS_0 hours[-] 17, GPS_0 minutes[-] 8, GPS_0 seconds[-] 37, ;
