System Uptime[ms] 11256,System VBATTcell0[V] 4.01,System VBATTcell1[V] 3.93,System VBATTcell2[V] 3.97,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.60,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.81,Airdata VTAS[m/s] 1.81,BMP280_0 P[Pa] 100172.05, BMP280_0 Tpackage[C] 18.90, HTU21DF_0 RH[%] 84.82, HTU21DF_0 Tpackage[C] 17.92, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 2.00, D6F-PH0025AD1_1 Tpackage[C] 16.30, D6F-PH0025AD1_2 q[Pa] 2.17, D6F-PH0025AD1_2 Tpackage[C] 16.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1879234314, GPS_0 longitude[deg] -1.0376834869, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 11, GPS_0 seconds[-] 38, ;
System Uptime[ms] 11644,System VBATTcell0[V] 4.01,System VBATTcell1[V] 3.93,System VBATTcell2[V] 3.99,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.61,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.84,Airdata VTAS[m/s] 1.84,BMP280_0 P[Pa] 100173.39, BMP280_0 Tpackage[C] 18.91, HTU21DF_0 RH[%] 84.48, HTU21DF_0 Tpackage[C] 17.94, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 2.51, D6F-PH0025AD1_1 Tpackage[C] 16.10, D6F-PH0025AD1_2 q[Pa] 2.31, D6F-PH0025AD1_2 Tpackage[C] 16.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1879234314, GPS_0 longitude[deg] -1.0376834869, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 11, GPS_0 seconds[-] 38, ;
System Uptime[ms] 12057,System VBATTcell0[V] 4.01,System VBATTcell1[V] 3.93,System VBATTcell2[V] 3.97,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.61,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.86,Airdata VTAS[m/s] 1.86,BMP280_0 P[Pa] 100173.16, BMP280_0 Tpackage[C] 18.91, HTU21DF_0 RH[%] 84.19, HTU21DF_0 Tpackage[C] 17.95, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 2.32, D6F-PH0025AD1_1 Tpackage[C] 16.10, D6F-PH0025AD1_2 q[Pa] 2.47, D6F-PH0025AD1_2 Tpackage[C] 16.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1879234314, GPS_0 longitude[deg] -1.0376856327, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 11, GPS_0 seconds[-] 39, ;
System Uptime[ms] 12445,System VBATTcell0[V] 4.01,System VBATTcell1[V] 3.93,System VBATTcell2[V] 3.97,Airdata rho[kg/m3] 1.22,Airdata T[C] 10.62,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.85,Airdata VTAS[m/s] 1.85,BMP280_0 P[Pa] 100172.30, BMP280_0 Tpackage[C] 18.92, HTU21DF_0 RH[%] 83.99, HTU21DF_0 Tpackage[C] 17.95, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 1.80, D6F-PH0025AD1_1 Tpackage[C] 16.10, D6F-PH0025AD1_2 q[Pa] 2.01, D6F-PH0025AD1_2 Tpackage[C] 16.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1879234314, GPS_0 longitude[deg] -1.0376856327, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 11, GPS_0 seconds[-] 39, ;
System Uptime[ms] 12833,System VBATTcell0[V] 4.01,System VBATTcell1[V] 3.93,System VBATTcell2[V] 3.97,Airdata rho[kg/m3] 1.22,Airdata T[C] 10.62,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.84,Airdata VTAS[m/s] 1.84,BMP280_0 P[Pa] 100171.69, BMP280_0 Tpackage[C] 18.92, HTU21DF_0 RH[%] 83.76, HTU21DF_0 Tpackage[C] 17.97, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 1.85, D6F-PH0025AD1_1 Tpackage[C] 16.10, D6F-PH0025AD1_2 q[Pa] 1.91, D6F-PH0025AD1_2 Tpackage[C] 16.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1879234314, GPS_0 longitude[deg] -1.0376856327, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 11, GPS_0 seconds[-] 39, ;
System Uptime[ms] 13221,System VBATTcell0[V] 4.01,System VBATTcell1[V] 3.92,System VBATTcell2[V] 3.98,Airdata rho[kg/m3] 1.22,Airdata T[C] 10.63,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.81,Airdata VTAS[m/s] 1.81,BMP280_0 P[Pa] 100173.21, BMP280_0 Tpackage[C] 18.93, HTU21DF_0 RH[%] 83.55, HTU21DF_0 Tpackage[C] 17.99, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 1.39, D6F-PH0025AD1_1 Tpackage[C] 16.10, D6F-PH0025AD1_2 q[Pa] 1.56, D6F-PH0025AD1_2 Tpackage[C] 16.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1879234314, GPS_0 longitude[deg] -1.0376871824, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 11, GPS_0 seconds[-] 40, ;
System Uptime[ms] 13609,System VBATTcell0[V] 4.01,System VBATTcell1[V] 3.93,System VBATTcell2[V] 3.97,Airdata rho[kg/m3] 1.22,Airdata T[C] 10.64,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.77,Airdata VTAS[m/s] 1.77,BMP280_0 P[Pa] 100170.28, BMP280_0 Tpackage[C] 18.94, HTU21DF_0 RH[%] 83.35, HTU21DF_0 Tpackage[C] 18.00, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.94, D6F-PH0025AD1_1 Tpackage[C] 16.30, D6F-PH0025AD1_2 q[Pa] 2.06, D6F-PH0025AD1_2 Tpackage[C] 16.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1879234314, GPS_0 longitude[deg] -1.0376871824, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 11, GPS_0 seconds[-] 40, ;
System Uptime[ms] 13997,System VBATTcell0[V] 4.01,System VBATTcell1[V] 3.92,System VBATTcell2[V] 3.98,Airdata rho[kg/m3] 1.22,Airdata T[C] 10.65,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.75,Airdata VTAS[m/s] 1.76,BMP280_0 P[Pa] 100172.78, BMP280_0 Tpackage[C] 18.95, HTU21DF_0 RH[%] 83.20, HTU21DF_0 Tpackage[C] 18.00, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 1.39, D6F-PH0025AD1_1 Tpackage[C] 16.30, D6F-PH0025AD1_2 q[Pa] 1.81, D6F-PH0025AD1_2 Tpackage[C] 16.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1879234314, GPS_0 longitude[deg] -1.0376871824, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 11, GPS_0 seconds[-] 40, ;
System Uptime[ms] 14410,System VBATTcell0[V] 4.01,System VBATTcell1[V] 3.93,System VBATTcell2[V] 3.97,Airdata rho[kg/m3] 1.22,Airdata T[C] 10.66,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.78,Airdata VTAS[m/s] 1.78,BMP280_0 P[Pa] 100172.95, BMP280_0 Tpackage[C] 18.96, HTU21DF_0 RH[%] 82.97, HTU21DF_0 Tpackage[C] 18.02, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 2.16, D6F-PH0025AD1_1 Tpackage[C] 16.10, D6F-PH0025AD1_2 q[Pa] 2.87, D6F-PH0025AD1_2 Tpackage[C] 16.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1879196167, GPS_0 longitude[deg] -1.0376884937, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 11, GPS_0 seconds[-] 41, ;
System Uptime[ms] 14798,System VBATTcell0[V] 4.01,System VBATTcell1[V] 3.93,System VBATTcell2[V] 3.97,Airdata rho[kg/m3] 1.22,Airdata T[C] 10.66,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.84,Airdata VTAS[m/s] 1.84,BMP280_0 P[Pa] 100167.70, BMP280_0 Tpackage[C] 18.96, HTU21DF_0 RH[%] 82.75, HTU21DF_0 Tpackage[C] 18.03, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 2.11, D6F-PH0025AD1_1 Tpackage[C] 16.30, D6F-PH0025AD1_2 q[Pa] 3.37, D6F-PH0025AD1_2 Tpackage[C] 16.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1879196167, GPS_0 longitude[deg] -1.0376884937, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 11, GPS_0 seconds[-] 41, ;
