System Uptime[ms] 238202,System VBATTcell0[V] 3.97,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.20,Airdata T[C] 15.51,Airdata AoA[deg] 0.50,Airdata AoS[deg] -6.12,Airdata VCAS[m/s] 3.36,Airdata VTAS[m/s] 3.39,BMP280_0 P[Pa] 100203.39, BMP280_0 Tpackage[C] 23.81, HTU21DF_0 RH[%] 60.49, HTU21DF_0 Tpackage[C] 23.58, D6F-PH0025AD1_0 q[Pa] 6.03, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 5.60, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 7.32, D6F-PH0025AD1_2 Tpackage[C] 19.60, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.02, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1861915588, GPS_0 longitude[deg] -1.0366467237, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 6, GPS_0 seconds[-] 0, ;
System Uptime[ms] 238659,System VBATTcell0[V] 3.97,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.20,Airdata T[C] 15.53,Airdata AoA[deg] 3.04,Airdata AoS[deg] -2.57,Airdata VCAS[m/s] 3.25,Airdata VTAS[m/s] 3.27,BMP280_0 P[Pa] 100204.16, BMP280_0 Tpackage[C] 23.83, HTU21DF_0 RH[%] 60.20, HTU21DF_0 Tpackage[C] 23.59, D6F-PH0025AD1_0 q[Pa] 5.66, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 5.90, D6F-PH0025AD1_1 Tpackage[C] 19.80, D6F-PH0025AD1_2 q[Pa] 7.03, D6F-PH0025AD1_2 Tpackage[C] 19.60, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.02, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1861915588, GPS_0 longitude[deg] -1.0366467237, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 6, GPS_0 seconds[-] 0, ;
System Uptime[ms] 239116,System VBATTcell0[V] 3.97,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.20,Airdata T[C] 15.54,Airdata AoA[deg] -7.96,Airdata AoS[deg] -11.21,Airdata VCAS[m/s] 3.19,Airdata VTAS[m/s] 3.21,BMP280_0 P[Pa] 100202.61, BMP280_0 Tpackage[C] 23.84, HTU21DF_0 RH[%] 60.06, HTU21DF_0 Tpackage[C] 23.59, D6F-PH0025AD1_0 q[Pa] 5.37, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 3.97, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 5.81, D6F-PH0025AD1_2 Tpackage[C] 19.60, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.02, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1861915588, GPS_0 longitude[deg] -1.0366467237, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 6, GPS_0 seconds[-] 1, ;
System Uptime[ms] 239573,System VBATTcell0[V] 3.97,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.20,Airdata T[C] 15.52,Airdata AoA[deg] 4.31,Airdata AoS[deg] -7.10,Airdata VCAS[m/s] 3.15,Airdata VTAS[m/s] 3.18,BMP280_0 P[Pa] 100203.53, BMP280_0 Tpackage[C] 23.82, HTU21DF_0 RH[%] 59.43, HTU21DF_0 Tpackage[C] 23.56, D6F-PH0025AD1_0 q[Pa] 6.32, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 4.81, D6F-PH0025AD1_1 Tpackage[C] 19.80, D6F-PH0025AD1_2 q[Pa] 6.97, D6F-PH0025AD1_2 Tpackage[C] 19.60, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.02, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1861915588, GPS_0 longitude[deg] -1.0366467237, GPS_0 year[-] -1, GPS_0 month[-] -1, GPS_0 day[-] -1, GPS_0 hours[-] 6, GPS_0 minutes[-] 6, GPS_0 seconds[-] 1, ;
System Uptime[ms] 240030,System VBATTcell0[V] 3.97,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.20,Airdata T[C] 15.50,Airdata AoA[deg] 8.67,Airdata AoS[deg] 3.64,Airdata VCAS[m/s] 3.14,Airdata VTAS[m/s] 3.16,BMP280_0 P[Pa] 100204.23, BMP280_0 Tpackage[C] 23.80, HTU21DF_0 RH[%] 58.99, HTU21DF_0 Tpackage[C] 23.56, D6F-PH0025AD1_0 q[Pa] 5.32, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 6.55, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 7.09, D6F-PH0025AD1_2 Tpackage[C] 19.60, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.02, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1861915588, GPS_0 longitude[deg] -1.0366467237, GPS_0 year[-] -1, GPS_0 month[-] -1, GPS_0 day[-] -1, GPS_0 hours[-] 6, GPS_0 minutes[-] 6, GPS_0 seconds[-] 2, ;
System Uptime[ms] 240512,System VBATTcell0[V] 3.98,System VBATTcell1[V] 3.93,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.20,Airdata T[C] 15.51,Airdata AoA[deg] -1.54,Airdata AoS[deg] -1.61,Airdata VCAS[m/s] 3.19,Airdata VTAS[m/s] 3.22,BMP280_0 P[Pa] 100202.77, BMP280_0 Tpackage[C] 23.81, HTU21DF_0 RH[%] 58.64, HTU21DF_0 Tpackage[C] 23.56, D6F-PH0025AD1_0 q[Pa] 6.08, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 5.75, D6F-PH0025AD1_1 Tpackage[C] 19.80, D6F-PH0025AD1_2 q[Pa] 5.97, D6F-PH0025AD1_2 Tpackage[C] 19.60, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.02, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1861915588, GPS_0 longitude[deg] -1.0366467237, GPS_0 year[-] -1, GPS_0 month[-] -1, GPS_0 day[-] -1, GPS_0 hours[-] 6, GPS_0 minutes[-] 6, GPS_0 seconds[-] 2, ;
System Uptime[ms] 240969,System VBATTcell0[V] 3.97,System VBATTcell1[V] 3.93,System VBATTcell2[V] 3.89,Airdata rho[kg/m3] 1.20,Airdata T[C] 15.49,Airdata AoA[deg] -3.99,Airdata AoS[deg] -3.14,Airdata VCAS[m/s] 3.12,Airdata VTAS[m/s] 3.14,BMP280_0 P[Pa] 100206.39, BMP280_0 Tpackage[C] 23.79, HTU21DF_0 RH[%] 58.25, HTU21DF_0 Tpackage[C] 23.54, D6F-PH0025AD1_0 q[Pa] 5.47, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 5.07, D6F-PH0025AD1_1 Tpackage[C] 19.80, D6F-PH0025AD1_2 q[Pa] 5.35, D6F-PH0025AD1_2 Tpackage[C] 19.60, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.02, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1861915588, GPS_0 longitude[deg] -1.0366468430, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 6, GPS_0 seconds[-] 3, ;
System Uptime[ms] 241426,System VBATTcell0[V] 3.97,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.21,Airdata T[C] 15.43,Airdata AoA[deg] -5.59,Airdata AoS[deg] -3.74,Airdata VCAS[m/s] 2.99,Airdata VTAS[m/s] 3.02,BMP280_0 P[Pa] 100202.96, BMP280_0 Tpackage[C] 23.73, HTU21DF_0 RH[%] 58.22, HTU21DF_0 Tpackage[C] 23.47, D6F-PH0025AD1_0 q[Pa] 4.95, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 4.60, D6F-PH0025AD1_1 Tpackage[C] 19.80, D6F-PH0025AD1_2 q[Pa] 4.74, D6F-PH0025AD1_2 Tpackage[C] 19.60, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.02, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1861915588, GPS_0 longitude[deg] -1.0366468430, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 6, GPS_0 seconds[-] 3, ;
System Uptime[ms] 241883,System VBATTcell0[V] 3.97,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.21,Airdata T[C] 15.40,Airdata AoA[deg] -0.44,Airdata AoS[deg] -3.80,Airdata VCAS[m/s] 2.90,Airdata VTAS[m/s] 2.92,BMP280_0 P[Pa] 100204.58, BMP280_0 Tpackage[C] 23.70, HTU21DF_0 RH[%] 58.03, HTU21DF_0 Tpackage[C] 23.45, D6F-PH0025AD1_0 q[Pa] 4.86, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 4.24, D6F-PH0025AD1_1 Tpackage[C] 19.80, D6F-PH0025AD1_2 q[Pa] 5.30, D6F-PH0025AD1_2 Tpackage[C] 19.60, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.02, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1861915588, GPS_0 longitude[deg] -1.0366468430, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 6, GPS_0 seconds[-] 3, ;
System Uptime[ms] 242340,System VBATTcell0[V] 3.97,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.90,Airdata rho[kg/m3] 1.21,Airdata T[C] 15.39,Airdata AoA[deg] -0.28,Airdata AoS[deg] -3.99,Airdata VCAS[m/s] 2.82,Airdata VTAS[m/s] 2.84,BMP280_0 P[Pa] 100206.05, BMP280_0 Tpackage[C] 23.69, HTU21DF_0 RH[%] 57.84, HTU21DF_0 Tpackage[C] 23.43, D6F-PH0025AD1_0 q[Pa] 4.25, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 4.03, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 5.04, D6F-PH0025AD1_2 Tpackage[C] 19.60, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.02, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1861915588, GPS_0 longitude[deg] -1.0366469622, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 6, GPS_0 seconds[-] 4, ;
