System Uptime[ms] 63426,System VBATTcell0[V] 4.05,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.94,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.00,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.24,Airdata VTAS[m/s] 0.24,BMP280_0 P[Pa] 100082.14, BMP280_0 Tpackage[C] 18.30, HTU21DF_0 RH[%] 77.02, HTU21DF_0 Tpackage[C] 17.74, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 16.90, D6F-PH0025AD1_2 q[Pa] 0.35, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1876525879, GPS_0 longitude[deg] -1.0282634497, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 26, GPS_0 hours[-] 20, GPS_0 minutes[-] 26, GPS_0 seconds[-] 43, ;
System Uptime[ms] 63814,System VBATTcell0[V] 4.05,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.94,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.01,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.25,Airdata VTAS[m/s] 0.24,BMP280_0 P[Pa] 100083.51, BMP280_0 Tpackage[C] 18.31, HTU21DF_0 RH[%] 76.82, HTU21DF_0 Tpackage[C] 17.74, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 17.10, D6F-PH0025AD1_2 q[Pa] 0.25, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1876525879, GPS_0 longitude[deg] -1.0282634497, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 26, GPS_0 hours[-] 20, GPS_0 minutes[-] 26, GPS_0 seconds[-] 43, ;
System Uptime[ms] 64227,System VBATTcell0[V] 4.05,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.97,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.01,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.29,Airdata VTAS[m/s] 0.28,BMP280_0 P[Pa] 100082.77, BMP280_0 Tpackage[C] 18.31, HTU21DF_0 RH[%] 76.63, HTU21DF_0 Tpackage[C] 17.76, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.68, D6F-PH0025AD1_1 Tpackage[C] 16.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1876525879, GPS_0 longitude[deg] -1.0282634497, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 26, GPS_0 hours[-] 20, GPS_0 minutes[-] 26, GPS_0 seconds[-] 44, ;
System Uptime[ms] 64615,System VBATTcell0[V] 4.05,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.97,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.02,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.31,Airdata VTAS[m/s] 0.31,BMP280_0 P[Pa] 100081.05, BMP280_0 Tpackage[C] 18.32, HTU21DF_0 RH[%] 76.51, HTU21DF_0 Tpackage[C] 17.77, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.58, D6F-PH0025AD1_1 Tpackage[C] 16.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1876525879, GPS_0 longitude[deg] -1.0282634497, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 26, GPS_0 hours[-] 20, GPS_0 minutes[-] 26, GPS_0 seconds[-] 44, ;
System Uptime[ms] 65003,System VBATTcell0[V] 4.05,System VBATTcell1[V] 3.99,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.02,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.31,Airdata VTAS[m/s] 0.31,BMP280_0 P[Pa] 100080.77, BMP280_0 Tpackage[C] 18.32, HTU21DF_0 RH[%] 76.45, HTU21DF_0 Tpackage[C] 17.77, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.11, D6F-PH0025AD1_1 Tpackage[C] 16.90, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1876525879, GPS_0 longitude[deg] -1.0282634497, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 26, GPS_0 hours[-] 20, GPS_0 minutes[-] 26, GPS_0 seconds[-] 45, ;
System Uptime[ms] 65391,System VBATTcell0[V] 4.05,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.03,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.32,Airdata VTAS[m/s] 0.31,BMP280_0 P[Pa] 100079.48, BMP280_0 Tpackage[C] 18.33, HTU21DF_0 RH[%] 76.41, HTU21DF_0 Tpackage[C] 17.77, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 16.90, D6F-PH0025AD1_2 q[Pa] 0.45, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1876525879, GPS_0 longitude[deg] -1.0282634497, GPS_0 year[-] -1, GPS_0 month[-] -1, GPS_0 day[-] -1, GPS_0 hours[-] 20, GPS_0 minutes[-] 26, GPS_0 seconds[-] 45, ;
System Uptime[ms] 65780,System VBATTcell0[V] 4.05,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.03,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.32,Airdata VTAS[m/s] 0.31,BMP280_0 P[Pa] 100079.31, BMP280_0 Tpackage[C] 18.33, HTU21DF_0 RH[%] 76.43, HTU21DF_0 Tpackage[C] 17.78, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 17.10, D6F-PH0025AD1_2 q[Pa] 0.00, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1876525879, GPS_0 longitude[deg] -1.0282634497, GPS_0 year[-] -1, GPS_0 month[-] -1, GPS_0 day[-] -1, GPS_0 hours[-] 20, GPS_0 minutes[-] 26, GPS_0 seconds[-] 45, ;
System Uptime[ms] 66178,System VBATTcell0[V] 4.05,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.94,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.04,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.32,Airdata VTAS[m/s] 0.31,BMP280_0 P[Pa] 100078.28, BMP280_0 Tpackage[C] 18.34, HTU21DF_0 RH[%] 76.43, HTU21DF_0 Tpackage[C] 17.79, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 16.90, D6F-PH0025AD1_2 q[Pa] 0.15, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1876525879, GPS_0 longitude[deg] -1.0282634497, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 26, GPS_0 hours[-] 20, GPS_0 minutes[-] 26, GPS_0 seconds[-] 46, ;
System Uptime[ms] 66591,System VBATTcell0[V] 4.05,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.94,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.05,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.34,Airdata VTAS[m/s] 0.34,BMP280_0 P[Pa] 100078.34, BMP280_0 Tpackage[C] 18.35, HTU21DF_0 RH[%] 76.05, HTU21DF_0 Tpackage[C] 17.80, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 17.10, D6F-PH0025AD1_2 q[Pa] 0.96, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1876525879, GPS_0 longitude[deg] -1.0282634497, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 26, GPS_0 hours[-] 20, GPS_0 minutes[-] 26, GPS_0 seconds[-] 46, ;
System Uptime[ms] 66979,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.07,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.39,Airdata VTAS[m/s] 0.39,BMP280_0 P[Pa] 100075.70, BMP280_0 Tpackage[C] 18.37, HTU21DF_0 RH[%] 75.68, HTU21DF_0 Tpackage[C] 17.82, D6F-PH0025AD1_0 q[Pa] nan, D6F-PH0025AD1_0 Tpackage[C] nan, D6F-PH0025AD1_1 q[Pa] 0.27, D6F-PH0025AD1_1 Tpackage[C] 17.10, D6F-PH0025AD1_2 q[Pa] 0.55, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 7, GPS_0 latitude[deg] 51.1876525879, GPS_0 longitude[deg] -1.0282634497, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 26, GPS_0 hours[-] 20, GPS_0 minutes[-] 26, GPS_0 seconds[-] 47, ;
