System Uptime[ms] 34045,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.23,Airdata T[C] 9.85,Airdata AoA[deg] 4.13,Airdata AoS[deg] 2.24,Airdata VCAS[m/s] 2.72,Airdata VTAS[m/s] 2.71,BMP280_0 P[Pa] 100215.27, BMP280_0 Tpackage[C] 18.15, HTU21DF_0 RH[%] 81.92, HTU21DF_0 Tpackage[C] 16.82, D6F-PH0025AD1_0 q[Pa] 4.90, D6F-PH0025AD1_0 Tpackage[C] 16.10, D6F-PH0025AD1_1 q[Pa] 4.94, D6F-PH0025AD1_1 Tpackage[C] 17.10, D6F-PH0025AD1_2 q[Pa] 5.06, D6F-PH0025AD1_2 Tpackage[C] 16.70, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873016357, GPS_0 longitude[deg] -1.0392893553, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 46, GPS_0 seconds[-] 25, ;
System Uptime[ms] 34554,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.23,Airdata T[C] 9.86,Airdata AoA[deg] -0.97,Airdata AoS[deg] -1.30,Airdata VCAS[m/s] 2.71,Airdata VTAS[m/s] 2.70,BMP280_0 P[Pa] 100218.20, BMP280_0 Tpackage[C] 18.16, HTU21DF_0 RH[%] 82.01, HTU21DF_0 Tpackage[C] 16.85, D6F-PH0025AD1_0 q[Pa] 3.90, D6F-PH0025AD1_0 Tpackage[C] 16.10, D6F-PH0025AD1_1 q[Pa] 4.16, D6F-PH0025AD1_1 Tpackage[C] 17.10, D6F-PH0025AD1_2 q[Pa] 4.35, D6F-PH0025AD1_2 Tpackage[C] 16.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873016357, GPS_0 longitude[deg] -1.0392893553, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 46, GPS_0 seconds[-] 25, ;
System Uptime[ms] 35011,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.87,System VBATTcell2[V] 3.89,Airdata rho[kg/m3] 1.23,Airdata T[C] 9.88,Airdata AoA[deg] 2.47,Airdata AoS[deg] 2.57,Airdata VCAS[m/s] 2.74,Airdata VTAS[m/s] 2.74,BMP280_0 P[Pa] 100218.98, BMP280_0 Tpackage[C] 18.18, HTU21DF_0 RH[%] 82.16, HTU21DF_0 Tpackage[C] 16.85, D6F-PH0025AD1_0 q[Pa] 4.90, D6F-PH0025AD1_0 Tpackage[C] 16.10, D6F-PH0025AD1_1 q[Pa] 5.14, D6F-PH0025AD1_1 Tpackage[C] 17.10, D6F-PH0025AD1_2 q[Pa] 4.85, D6F-PH0025AD1_2 Tpackage[C] 16.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873016357, GPS_0 longitude[deg] -1.0392894745, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 46, GPS_0 seconds[-] 26, ;
System Uptime[ms] 35468,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.87,System VBATTcell2[V] 3.89,Airdata rho[kg/m3] 1.23,Airdata T[C] 9.88,Airdata AoA[deg] 7.13,Airdata AoS[deg] 3.66,Airdata VCAS[m/s] 2.85,Airdata VTAS[m/s] 2.85,BMP280_0 P[Pa] 100218.25, BMP280_0 Tpackage[C] 18.18, HTU21DF_0 RH[%] 82.27, HTU21DF_0 Tpackage[C] 16.85, D6F-PH0025AD1_0 q[Pa] 5.16, D6F-PH0025AD1_0 Tpackage[C] 16.10, D6F-PH0025AD1_1 q[Pa] 5.71, D6F-PH0025AD1_1 Tpackage[C] 17.10, D6F-PH0025AD1_2 q[Pa] 5.97, D6F-PH0025AD1_2 Tpackage[C] 16.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873016357, GPS_0 longitude[deg] -1.0392894745, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 46, GPS_0 seconds[-] 26, ;
System Uptime[ms] 35925,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.23,Airdata T[C] 9.89,Airdata AoA[deg] -7.23,Airdata AoS[deg] -9.67,Airdata VCAS[m/s] 2.93,Airdata VTAS[m/s] 2.92,BMP280_0 P[Pa] 100218.36, BMP280_0 Tpackage[C] 18.19, HTU21DF_0 RH[%] 82.38, HTU21DF_0 Tpackage[C] 16.87, D6F-PH0025AD1_0 q[Pa] 4.96, D6F-PH0025AD1_0 Tpackage[C] 16.10, D6F-PH0025AD1_1 q[Pa] 3.14, D6F-PH0025AD1_1 Tpackage[C] 17.10, D6F-PH0025AD1_2 q[Pa] 4.91, D6F-PH0025AD1_2 Tpackage[C] 16.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873016357, GPS_0 longitude[deg] -1.0392897129, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 46, GPS_0 seconds[-] 27, ;
System Uptime[ms] 36382,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.89,Airdata rho[kg/m3] 1.23,Airdata T[C] 9.90,Airdata AoA[deg] 11.35,Airdata AoS[deg] 0.00,Airdata VCAS[m/s] 3.02,Airdata VTAS[m/s] 3.02,BMP280_0 P[Pa] 100219.92, BMP280_0 Tpackage[C] 18.20, HTU21DF_0 RH[%] 82.43, HTU21DF_0 Tpackage[C] 16.88, D6F-PH0025AD1_0 q[Pa] 6.13, D6F-PH0025AD1_0 Tpackage[C] 16.10, D6F-PH0025AD1_1 q[Pa] 5.50, D6F-PH0025AD1_1 Tpackage[C] 17.10, D6F-PH0025AD1_2 q[Pa] 7.14, D6F-PH0025AD1_2 Tpackage[C] 16.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873016357, GPS_0 longitude[deg] -1.0392897129, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 46, GPS_0 seconds[-] 27, ;
System Uptime[ms] 36864,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.23,Airdata T[C] 9.90,Airdata AoA[deg] -11.32,Airdata AoS[deg] -9.91,Airdata VCAS[m/s] 3.26,Airdata VTAS[m/s] 3.26,BMP280_0 P[Pa] 100221.58, BMP280_0 Tpackage[C] 18.20, HTU21DF_0 RH[%] 82.33, HTU21DF_0 Tpackage[C] 16.90, D6F-PH0025AD1_0 q[Pa] 7.16, D6F-PH0025AD1_0 Tpackage[C] 16.10, D6F-PH0025AD1_1 q[Pa] 4.68, D6F-PH0025AD1_1 Tpackage[C] 16.90, D6F-PH0025AD1_2 q[Pa] 5.47, D6F-PH0025AD1_2 Tpackage[C] 16.70, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873016357, GPS_0 longitude[deg] -1.0392894745, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 46, GPS_0 seconds[-] 28, ;
System Uptime[ms] 37321,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.23,Airdata T[C] 9.91,Airdata AoA[deg] -4.01,Airdata AoS[deg] -4.53,Airdata VCAS[m/s] 2.98,Airdata VTAS[m/s] 2.98,BMP280_0 P[Pa] 100219.02, BMP280_0 Tpackage[C] 18.21, HTU21DF_0 RH[%] 82.16, HTU21DF_0 Tpackage[C] 16.90, D6F-PH0025AD1_0 q[Pa] 5.06, D6F-PH0025AD1_0 Tpackage[C] 16.10, D6F-PH0025AD1_1 q[Pa] 4.52, D6F-PH0025AD1_1 Tpackage[C] 17.10, D6F-PH0025AD1_2 q[Pa] 5.05, D6F-PH0025AD1_2 Tpackage[C] 16.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873016357, GPS_0 longitude[deg] -1.0392894745, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 46, GPS_0 seconds[-] 28, ;
System Uptime[ms] 37778,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.89,Airdata rho[kg/m3] 1.23,Airdata T[C] 9.91,Airdata AoA[deg] -0.62,Airdata AoS[deg] -7.62,Airdata VCAS[m/s] 2.76,Airdata VTAS[m/s] 2.76,BMP280_0 P[Pa] 100215.53, BMP280_0 Tpackage[C] 18.21, HTU21DF_0 RH[%] 81.90, HTU21DF_0 Tpackage[C] 16.90, D6F-PH0025AD1_0 q[Pa] 3.30, D6F-PH0025AD1_0 Tpackage[C] 16.10, D6F-PH0025AD1_1 q[Pa] 3.61, D6F-PH0025AD1_1 Tpackage[C] 17.10, D6F-PH0025AD1_2 q[Pa] 4.91, D6F-PH0025AD1_2 Tpackage[C] 16.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873016357, GPS_0 longitude[deg] -1.0392894745, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 46, GPS_0 seconds[-] 29, ;
System Uptime[ms] 38235,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.87,System VBATTcell2[V] 3.89,Airdata rho[kg/m3] 1.23,Airdata T[C] 9.92,Airdata AoA[deg] -0.74,Airdata AoS[deg] 7.59,Airdata VCAS[m/s] 2.88,Airdata VTAS[m/s] 2.88,BMP280_0 P[Pa] 100215.88, BMP280_0 Tpackage[C] 18.22, HTU21DF_0 RH[%] 81.65, HTU21DF_0 Tpackage[C] 16.92, D6F-PH0025AD1_0 q[Pa] 5.71, D6F-PH0025AD1_0 Tpackage[C] 16.30, D6F-PH0025AD1_1 q[Pa] 6.15, D6F-PH0025AD1_1 Tpackage[C] 17.10, D6F-PH0025AD1_2 q[Pa] 4.91, D6F-PH0025AD1_2 Tpackage[C] 16.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873016357, GPS_0 longitude[deg] -1.0392894745, GPS_0 year[-] -1, GPS_0 month[-] -1, GPS_0 day[-] -1, GPS_0 hours[-] 6, GPS_0 minutes[-] 46, GPS_0 seconds[-] 29, ;
System Uptime[ms] 38692,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.87,System VBATTcell2[V] 3.89,Airdata rho[kg/m3] 1.23,Airdata T[C] 9.93,Airdata AoA[deg] -35.63,Airdata AoS[deg] -17.44,Airdata VCAS[m/s] 3.02,Airdata VTAS[m/s] 3.01,BMP280_0 P[Pa] 100215.98, BMP280_0 Tpackage[C] 18.23, HTU21DF_0 RH[%] 81.41, HTU21DF_0 Tpackage[C] 16.92, D6F-PH0025AD1_0 q[Pa] 3.56, D6F-PH0025AD1_0 Tpackage[C] 16.30, D6F-PH0025AD1_1 q[Pa] 2.62, D6F-PH0025AD1_1 Tpackage[C] 17.10, D6F-PH0025AD1_2 q[Pa] 2.32, D6F-PH0025AD1_2 Tpackage[C] 16.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873016357, GPS_0 longitude[deg] -1.0392894745, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 46, GPS_0 seconds[-] 30, ;
