System Uptime[ms] 16552,System VBATTcell0[V] 3.94,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.88,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.44,Airdata AoA[deg] 2.92,Airdata AoS[deg] -7.06,Airdata VCAS[m/s] 3.92,Airdata VTAS[m/s] 3.92,BMP280_0 P[Pa] 100225.50, BMP280_0 Tpackage[C] 19.74, HTU21DF_0 RH[%] 75.26, HTU21DF_0 Tpackage[C] 17.97, D6F-PH0025AD1_0 q[Pa] 7.82, D6F-PH0025AD1_0 Tpackage[C] 17.10, D6F-PH0025AD1_1 q[Pa] 8.10, D6F-PH0025AD1_1 Tpackage[C] 17.80, D6F-PH0025AD1_2 q[Pa] 9.93, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 9, GPS_0 latitude[deg] 51.1873054504, GPS_0 longitude[deg] -1.0388933420, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 6, GPS_0 seconds[-] 35, ;
System Uptime[ms] 17009,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.87,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.45,Airdata AoA[deg] 1.35,Airdata AoS[deg] -1.36,Airdata VCAS[m/s] 3.91,Airdata VTAS[m/s] 3.92,BMP280_0 P[Pa] 100225.83, BMP280_0 Tpackage[C] 19.75, HTU21DF_0 RH[%] 75.25, HTU21DF_0 Tpackage[C] 17.97, D6F-PH0025AD1_0 q[Pa] 9.33, D6F-PH0025AD1_0 Tpackage[C] 17.10, D6F-PH0025AD1_1 q[Pa] 8.87, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 9.74, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 9, GPS_0 latitude[deg] 51.1873054504, GPS_0 longitude[deg] -1.0388933420, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 6, GPS_0 seconds[-] 35, ;
System Uptime[ms] 17466,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.87,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.46,Airdata AoA[deg] -0.97,Airdata AoS[deg] -1.32,Airdata VCAS[m/s] 3.91,Airdata VTAS[m/s] 3.91,BMP280_0 P[Pa] 100227.34, BMP280_0 Tpackage[C] 19.76, HTU21DF_0 RH[%] 75.21, HTU21DF_0 Tpackage[C] 17.98, D6F-PH0025AD1_0 q[Pa] 9.33, D6F-PH0025AD1_0 Tpackage[C] 17.10, D6F-PH0025AD1_1 q[Pa] 8.68, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 9.09, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 9, GPS_0 latitude[deg] 51.1873054504, GPS_0 longitude[deg] -1.0388933420, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 6, GPS_0 seconds[-] 36, ;
System Uptime[ms] 17923,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.87,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.46,Airdata AoA[deg] 2.99,Airdata AoS[deg] -1.81,Airdata VCAS[m/s] 3.95,Airdata VTAS[m/s] 3.95,BMP280_0 P[Pa] 100228.22, BMP280_0 Tpackage[C] 19.76, HTU21DF_0 RH[%] 75.19, HTU21DF_0 Tpackage[C] 17.97, D6F-PH0025AD1_0 q[Pa] 10.05, D6F-PH0025AD1_0 Tpackage[C] 17.10, D6F-PH0025AD1_1 q[Pa] 8.82, D6F-PH0025AD1_1 Tpackage[C] 17.80, D6F-PH0025AD1_2 q[Pa] 10.54, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 9, GPS_0 latitude[deg] 51.1873054504, GPS_0 longitude[deg] -1.0388933420, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 6, GPS_0 seconds[-] 36, ;
System Uptime[ms] 18380,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.87,System VBATTcell2[V] 3.86,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.46,Airdata AoA[deg] -5.71,Airdata AoS[deg] -4.00,Airdata VCAS[m/s] 4.01,Airdata VTAS[m/s] 4.01,BMP280_0 P[Pa] 100228.00, BMP280_0 Tpackage[C] 19.76, HTU21DF_0 RH[%] 75.14, HTU21DF_0 Tpackage[C] 17.99, D6F-PH0025AD1_0 q[Pa] 10.31, D6F-PH0025AD1_0 Tpackage[C] 17.10, D6F-PH0025AD1_1 q[Pa] 8.48, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 8.71, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 9, GPS_0 latitude[deg] 51.1873054504, GPS_0 longitude[deg] -1.0388936996, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 6, GPS_0 seconds[-] 37, ;
System Uptime[ms] 18862,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.87,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.47,Airdata AoA[deg] -0.46,Airdata AoS[deg] -4.95,Airdata VCAS[m/s] 3.87,Airdata VTAS[m/s] 3.88,BMP280_0 P[Pa] 100230.44, BMP280_0 Tpackage[C] 19.77, HTU21DF_0 RH[%] 75.09, HTU21DF_0 Tpackage[C] 18.00, D6F-PH0025AD1_0 q[Pa] 8.75, D6F-PH0025AD1_0 Tpackage[C] 17.10, D6F-PH0025AD1_1 q[Pa] 7.61, D6F-PH0025AD1_1 Tpackage[C] 17.80, D6F-PH0025AD1_2 q[Pa] 9.41, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 9, GPS_0 latitude[deg] 51.1873054504, GPS_0 longitude[deg] -1.0388936996, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 6, GPS_0 seconds[-] 37, ;
System Uptime[ms] 19319,System VBATTcell0[V] 3.94,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.87,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.48,Airdata AoA[deg] -0.83,Airdata AoS[deg] -1.35,Airdata VCAS[m/s] 3.82,Airdata VTAS[m/s] 3.82,BMP280_0 P[Pa] 100233.52, BMP280_0 Tpackage[C] 19.78, HTU21DF_0 RH[%] 75.06, HTU21DF_0 Tpackage[C] 18.02, D6F-PH0025AD1_0 q[Pa] 8.88, D6F-PH0025AD1_0 Tpackage[C] 17.30, D6F-PH0025AD1_1 q[Pa] 8.30, D6F-PH0025AD1_1 Tpackage[C] 17.80, D6F-PH0025AD1_2 q[Pa] 8.73, D6F-PH0025AD1_2 Tpackage[C] 17.30, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 9, GPS_0 latitude[deg] 51.1873054504, GPS_0 longitude[deg] -1.0388940573, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 6, GPS_0 seconds[-] 38, ;
System Uptime[ms] 19776,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.87,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.49,Airdata AoA[deg] -4.13,Airdata AoS[deg] -3.91,Airdata VCAS[m/s] 3.87,Airdata VTAS[m/s] 3.87,BMP280_0 P[Pa] 100223.72, BMP280_0 Tpackage[C] 19.79, HTU21DF_0 RH[%] 75.00, HTU21DF_0 Tpackage[C] 18.05, D6F-PH0025AD1_0 q[Pa] 10.06, D6F-PH0025AD1_0 Tpackage[C] 17.30, D6F-PH0025AD1_1 q[Pa] 7.79, D6F-PH0025AD1_1 Tpackage[C] 17.80, D6F-PH0025AD1_2 q[Pa] 8.40, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 9, GPS_0 latitude[deg] 51.1873054504, GPS_0 longitude[deg] -1.0388940573, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 6, GPS_0 seconds[-] 38, ;
System Uptime[ms] 20233,System VBATTcell0[V] 3.93,System VBATTcell1[V] 3.86,System VBATTcell2[V] 3.87,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.49,Airdata AoA[deg] -9.41,Airdata AoS[deg] -4.15,Airdata VCAS[m/s] 3.90,Airdata VTAS[m/s] 3.90,BMP280_0 P[Pa] 100221.77, BMP280_0 Tpackage[C] 19.79, HTU21DF_0 RH[%] 74.99, HTU21DF_0 Tpackage[C] 18.06, D6F-PH0025AD1_0 q[Pa] 10.18, D6F-PH0025AD1_0 Tpackage[C] 17.30, D6F-PH0025AD1_1 q[Pa] 8.04, D6F-PH0025AD1_1 Tpackage[C] 17.80, D6F-PH0025AD1_2 q[Pa] 7.53, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 9, GPS_0 latitude[deg] 51.1873054504, GPS_0 longitude[deg] -1.0388940573, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 6, GPS_0 seconds[-] 39, ;
System Uptime[ms] 20690,System VBATTcell0[V] 3.94,System VBATTcell1[V] 3.85,System VBATTcell2[V] 3.87,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.50,Airdata AoA[deg] 2.70,Airdata AoS[deg] -13.89,Airdata VCAS[m/s] 3.73,Airdata VTAS[m/s] 3.73,BMP280_0 P[Pa] 100224.77, BMP280_0 Tpackage[C] 19.80, HTU21DF_0 RH[%] 75.40, HTU21DF_0 Tpackage[C] 18.09, D6F-PH0025AD1_0 q[Pa] 7.27, D6F-PH0025AD1_0 Tpackage[C] 17.30, D6F-PH0025AD1_1 q[Pa] 5.85, D6F-PH0025AD1_1 Tpackage[C] 17.80, D6F-PH0025AD1_2 q[Pa] 9.43, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.11, GPS_0 satellites[-] 9, GPS_0 latitude[deg] 51.1873054504, GPS_0 longitude[deg] -1.0388936996, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 6, GPS_0 seconds[-] 39, ;
