System Uptime[ms] 41983,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.90,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.83,Airdata AoA[deg] 2.36,Airdata AoS[deg] -0.58,Airdata VCAS[m/s] 3.11,Airdata VTAS[m/s] 3.14,BMP280_0 P[Pa] 100196.85, BMP280_0 Tpackage[C] 23.13, HTU21DF_0 RH[%] 73.66, HTU21DF_0 Tpackage[C] 22.34, D6F-PH0025AD1_0 q[Pa] 6.13, D6F-PH0025AD1_0 Tpackage[C] 17.30, D6F-PH0025AD1_1 q[Pa] 5.74, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 6.40, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1872711182, GPS_0 longitude[deg] -1.0398122072, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 17, GPS_0 seconds[-] 35, ;
System Uptime[ms] 42440,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.90,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.83,Airdata AoA[deg] 6.05,Airdata AoS[deg] 1.31,Airdata VCAS[m/s] 3.20,Airdata VTAS[m/s] 3.22,BMP280_0 P[Pa] 100193.69, BMP280_0 Tpackage[C] 23.13, HTU21DF_0 RH[%] 72.78, HTU21DF_0 Tpackage[C] 22.36, D6F-PH0025AD1_0 q[Pa] 6.35, D6F-PH0025AD1_0 Tpackage[C] 17.30, D6F-PH0025AD1_1 q[Pa] 6.53, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 7.41, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1872711182, GPS_0 longitude[deg] -1.0398122072, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 17, GPS_0 seconds[-] 35, ;
System Uptime[ms] 42897,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.90,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.84,Airdata AoA[deg] 3.14,Airdata AoS[deg] -0.50,Airdata VCAS[m/s] 3.33,Airdata VTAS[m/s] 3.35,BMP280_0 P[Pa] 100197.52, BMP280_0 Tpackage[C] 23.14, HTU21DF_0 RH[%] 71.98, HTU21DF_0 Tpackage[C] 22.38, D6F-PH0025AD1_0 q[Pa] 7.17, D6F-PH0025AD1_0 Tpackage[C] 17.50, D6F-PH0025AD1_1 q[Pa] 6.59, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 7.47, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1872711182, GPS_0 longitude[deg] -1.0398124456, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 17, GPS_0 seconds[-] 36, ;
System Uptime[ms] 43354,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.89,System VBATTcell2[V] 3.90,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.85,Airdata AoA[deg] 0.52,Airdata AoS[deg] -0.02,Airdata VCAS[m/s] 3.37,Airdata VTAS[m/s] 3.40,BMP280_0 P[Pa] 100196.77, BMP280_0 Tpackage[C] 23.15, HTU21DF_0 RH[%] 71.58, HTU21DF_0 Tpackage[C] 22.38, D6F-PH0025AD1_0 q[Pa] 7.12, D6F-PH0025AD1_0 Tpackage[C] 17.50, D6F-PH0025AD1_1 q[Pa] 6.88, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 7.05, D6F-PH0025AD1_2 Tpackage[C] 17.70, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.03, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1872711182, GPS_0 longitude[deg] -1.0398124456, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 17, GPS_0 seconds[-] 36, ;
System Uptime[ms] 43811,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.90,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.86,Airdata AoA[deg] -3.82,Airdata AoS[deg] -3.95,Airdata VCAS[m/s] 3.29,Airdata VTAS[m/s] 3.31,BMP280_0 P[Pa] 100197.33, BMP280_0 Tpackage[C] 23.16, HTU21DF_0 RH[%] 71.34, HTU21DF_0 Tpackage[C] 22.38, D6F-PH0025AD1_0 q[Pa] 5.31, D6F-PH0025AD1_0 Tpackage[C] 17.50, D6F-PH0025AD1_1 q[Pa] 5.58, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 6.12, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.04, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1872749329, GPS_0 longitude[deg] -1.0398130417, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 17, GPS_0 seconds[-] 37, ;
System Uptime[ms] 44293,System VBATTcell0[V] 3.96,System VBATTcell1[V] 3.87,System VBATTcell2[V] 3.90,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.86,Airdata AoA[deg] -3.44,Airdata AoS[deg] -3.47,Airdata VCAS[m/s] 3.12,Airdata VTAS[m/s] 3.14,BMP280_0 P[Pa] 100196.91, BMP280_0 Tpackage[C] 23.16, HTU21DF_0 RH[%] 70.90, HTU21DF_0 Tpackage[C] 22.39, D6F-PH0025AD1_0 q[Pa] 5.15, D6F-PH0025AD1_0 Tpackage[C] 17.30, D6F-PH0025AD1_1 q[Pa] 5.17, D6F-PH0025AD1_1 Tpackage[C] 18.20, D6F-PH0025AD1_2 q[Pa] 5.54, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.04, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1872749329, GPS_0 longitude[deg] -1.0398130417, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 17, GPS_0 seconds[-] 37, ;
System Uptime[ms] 44750,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.90,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.87,Airdata AoA[deg] -2.96,Airdata AoS[deg] -1.77,Airdata VCAS[m/s] 2.99,Airdata VTAS[m/s] 3.01,BMP280_0 P[Pa] 100196.50, BMP280_0 Tpackage[C] 23.17, HTU21DF_0 RH[%] 70.68, HTU21DF_0 Tpackage[C] 22.41, D6F-PH0025AD1_0 q[Pa] 4.89, D6F-PH0025AD1_0 Tpackage[C] 17.50, D6F-PH0025AD1_1 q[Pa] 5.02, D6F-PH0025AD1_1 Tpackage[C] 18.20, D6F-PH0025AD1_2 q[Pa] 4.99, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.04, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1872749329, GPS_0 longitude[deg] -1.0398135185, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 17, GPS_0 seconds[-] 38, ;
System Uptime[ms] 45207,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.89,System VBATTcell2[V] 3.89,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.87,Airdata AoA[deg] 1.76,Airdata AoS[deg] 0.64,Airdata VCAS[m/s] 3.04,Airdata VTAS[m/s] 3.06,BMP280_0 P[Pa] 100199.41, BMP280_0 Tpackage[C] 23.17, HTU21DF_0 RH[%] 70.35, HTU21DF_0 Tpackage[C] 22.41, D6F-PH0025AD1_0 q[Pa] 6.36, D6F-PH0025AD1_0 Tpackage[C] 17.50, D6F-PH0025AD1_1 q[Pa] 5.74, D6F-PH0025AD1_1 Tpackage[C] 18.20, D6F-PH0025AD1_2 q[Pa] 5.89, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.04, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1872749329, GPS_0 longitude[deg] -1.0398135185, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 17, GPS_0 seconds[-] 38, ;
System Uptime[ms] 45664,System VBATTcell0[V] 3.96,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.90,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.87,Airdata AoA[deg] 2.62,Airdata AoS[deg] -1.78,Airdata VCAS[m/s] 3.08,Airdata VTAS[m/s] 3.10,BMP280_0 P[Pa] 100200.63, BMP280_0 Tpackage[C] 23.17, HTU21DF_0 RH[%] 69.58, HTU21DF_0 Tpackage[C] 22.41, D6F-PH0025AD1_0 q[Pa] 5.80, D6F-PH0025AD1_0 Tpackage[C] 17.50, D6F-PH0025AD1_1 q[Pa] 5.28, D6F-PH0025AD1_1 Tpackage[C] 18.20, D6F-PH0025AD1_2 q[Pa] 6.53, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.04, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1872749329, GPS_0 longitude[deg] -1.0398138762, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 17, GPS_0 seconds[-] 39, ;
System Uptime[ms] 46121,System VBATTcell0[V] 3.95,System VBATTcell1[V] 3.88,System VBATTcell2[V] 3.90,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.86,Airdata AoA[deg] -1.53,Airdata AoS[deg] -1.92,Airdata VCAS[m/s] 3.06,Airdata VTAS[m/s] 3.08,BMP280_0 P[Pa] 100199.54, BMP280_0 Tpackage[C] 23.16, HTU21DF_0 RH[%] 68.86, HTU21DF_0 Tpackage[C] 22.42, D6F-PH0025AD1_0 q[Pa] 5.36, D6F-PH0025AD1_0 Tpackage[C] 17.50, D6F-PH0025AD1_1 q[Pa] 5.12, D6F-PH0025AD1_1 Tpackage[C] 18.20, D6F-PH0025AD1_2 q[Pa] 5.49, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.04, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1872749329, GPS_0 longitude[deg] -1.0398138762, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 6, GPS_0 minutes[-] 17, GPS_0 seconds[-] 39, ;
