System Uptime[ms] 67523,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.51,Airdata AoA[deg] 2.16,Airdata AoS[deg] 0.81,Airdata VCAS[m/s] 2.10,Airdata VTAS[m/s] 2.11,BMP280_0 P[Pa] 100191.23, BMP280_0 Tpackage[C] 19.81, HTU21DF_0 RH[%] 82.95, HTU21DF_0 Tpackage[C] 18.68, D6F-PH0025AD1_0 q[Pa] 2.92, D6F-PH0025AD1_0 Tpackage[C] 17.30, D6F-PH0025AD1_1 q[Pa] 2.85, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 3.00, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.12, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873435974, GPS_0 longitude[deg] -1.0385680199, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 38, GPS_0 seconds[-] 10, ;
System Uptime[ms] 68018,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.52,Airdata AoA[deg] -2.29,Airdata AoS[deg] -1.96,Airdata VCAS[m/s] 2.12,Airdata VTAS[m/s] 2.12,BMP280_0 P[Pa] 100192.78, BMP280_0 Tpackage[C] 19.82, HTU21DF_0 RH[%] 84.85, HTU21DF_0 Tpackage[C] 18.69, D6F-PH0025AD1_0 q[Pa] 2.82, D6F-PH0025AD1_0 Tpackage[C] 17.30, D6F-PH0025AD1_1 q[Pa] 2.29, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 2.49, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.12, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873435974, GPS_0 longitude[deg] -1.0385680199, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 38, GPS_0 seconds[-] 10, ;
System Uptime[ms] 68475,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.53,Airdata AoA[deg] -3.09,Airdata AoS[deg] -3.72,Airdata VCAS[m/s] 2.07,Airdata VTAS[m/s] 2.07,BMP280_0 P[Pa] 100201.13, BMP280_0 Tpackage[C] 19.83, HTU21DF_0 RH[%] 84.87, HTU21DF_0 Tpackage[C] 18.66, D6F-PH0025AD1_0 q[Pa] 2.16, D6F-PH0025AD1_0 Tpackage[C] 17.30, D6F-PH0025AD1_1 q[Pa] 1.92, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 2.43, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.12, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873397827, GPS_0 longitude[deg] -1.0385688543, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 38, GPS_0 seconds[-] 11, ;
System Uptime[ms] 68932,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.90,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.55,Airdata AoA[deg] -0.44,Airdata AoS[deg] -1.45,Airdata VCAS[m/s] 2.01,Airdata VTAS[m/s] 2.01,BMP280_0 P[Pa] 100202.84, BMP280_0 Tpackage[C] 19.85, HTU21DF_0 RH[%] 84.56, HTU21DF_0 Tpackage[C] 18.67, D6F-PH0025AD1_0 q[Pa] 2.22, D6F-PH0025AD1_0 Tpackage[C] 17.30, D6F-PH0025AD1_1 q[Pa] 2.19, D6F-PH0025AD1_1 Tpackage[C] 17.80, D6F-PH0025AD1_2 q[Pa] 2.49, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.12, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873397827, GPS_0 longitude[deg] -1.0385688543, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 38, GPS_0 seconds[-] 11, ;
System Uptime[ms] 69389,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.56,Airdata AoA[deg] 0.18,Airdata AoS[deg] -5.80,Airdata VCAS[m/s] 1.98,Airdata VTAS[m/s] 1.98,BMP280_0 P[Pa] 100201.80, BMP280_0 Tpackage[C] 19.86, HTU21DF_0 RH[%] 83.61, HTU21DF_0 Tpackage[C] 18.65, D6F-PH0025AD1_0 q[Pa] 1.81, D6F-PH0025AD1_0 Tpackage[C] 17.30, D6F-PH0025AD1_1 q[Pa] 1.56, D6F-PH0025AD1_1 Tpackage[C] 17.80, D6F-PH0025AD1_2 q[Pa] 2.75, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.12, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873397827, GPS_0 longitude[deg] -1.0385696888, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 38, GPS_0 seconds[-] 12, ;
System Uptime[ms] 69846,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.57,Airdata AoA[deg] -6.08,Airdata AoS[deg] -5.75,Airdata VCAS[m/s] 1.93,Airdata VTAS[m/s] 1.94,BMP280_0 P[Pa] 100201.83, BMP280_0 Tpackage[C] 19.87, HTU21DF_0 RH[%] 82.05, HTU21DF_0 Tpackage[C] 18.64, D6F-PH0025AD1_0 q[Pa] 2.16, D6F-PH0025AD1_0 Tpackage[C] 17.30, D6F-PH0025AD1_1 q[Pa] 1.51, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 1.98, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.12, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873397827, GPS_0 longitude[deg] -1.0385696888, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 38, GPS_0 seconds[-] 12, ;
System Uptime[ms] 70328,System VBATTcell0[V] 4.00,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.59,Airdata AoA[deg] 4.57,Airdata AoS[deg] 0.89,Airdata VCAS[m/s] 1.87,Airdata VTAS[m/s] 1.87,BMP280_0 P[Pa] 100201.86, BMP280_0 Tpackage[C] 19.89, HTU21DF_0 RH[%] 80.52, HTU21DF_0 Tpackage[C] 18.66, D6F-PH0025AD1_0 q[Pa] 1.87, D6F-PH0025AD1_0 Tpackage[C] 17.30, D6F-PH0025AD1_1 q[Pa] 2.23, D6F-PH0025AD1_1 Tpackage[C] 17.80, D6F-PH0025AD1_2 q[Pa] 2.59, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.12, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873397827, GPS_0 longitude[deg] -1.0385696888, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 38, GPS_0 seconds[-] 13, ;
System Uptime[ms] 70785,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.61,Airdata AoA[deg] 2.47,Airdata AoS[deg] 0.81,Airdata VCAS[m/s] 1.94,Airdata VTAS[m/s] 1.94,BMP280_0 P[Pa] 100203.02, BMP280_0 Tpackage[C] 19.91, HTU21DF_0 RH[%] 79.49, HTU21DF_0 Tpackage[C] 18.66, D6F-PH0025AD1_0 q[Pa] 2.67, D6F-PH0025AD1_0 Tpackage[C] 17.10, D6F-PH0025AD1_1 q[Pa] 2.39, D6F-PH0025AD1_1 Tpackage[C] 17.80, D6F-PH0025AD1_2 q[Pa] 2.54, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.12, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873397827, GPS_0 longitude[deg] -1.0385696888, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 38, GPS_0 seconds[-] 13, ;
System Uptime[ms] 71242,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.63,Airdata AoA[deg] 5.70,Airdata AoS[deg] -2.28,Airdata VCAS[m/s] 1.98,Airdata VTAS[m/s] 1.98,BMP280_0 P[Pa] 100204.65, BMP280_0 Tpackage[C] 19.93, HTU21DF_0 RH[%] 78.67, HTU21DF_0 Tpackage[C] 18.67, D6F-PH0025AD1_0 q[Pa] 2.37, D6F-PH0025AD1_0 Tpackage[C] 17.10, D6F-PH0025AD1_1 q[Pa] 2.03, D6F-PH0025AD1_1 Tpackage[C] 18.00, D6F-PH0025AD1_2 q[Pa] 3.25, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.12, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873397827, GPS_0 longitude[deg] -1.0385701656, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 38, GPS_0 seconds[-] 14, ;
System Uptime[ms] 71699,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.64,Airdata AoA[deg] 0.13,Airdata AoS[deg] 1.48,Airdata VCAS[m/s] 2.01,Airdata VTAS[m/s] 2.02,BMP280_0 P[Pa] 100201.97, BMP280_0 Tpackage[C] 19.94, HTU21DF_0 RH[%] 77.91, HTU21DF_0 Tpackage[C] 18.68, D6F-PH0025AD1_0 q[Pa] 2.62, D6F-PH0025AD1_0 Tpackage[C] 17.30, D6F-PH0025AD1_1 q[Pa] 2.69, D6F-PH0025AD1_1 Tpackage[C] 17.80, D6F-PH0025AD1_2 q[Pa] 2.39, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.12, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873397827, GPS_0 longitude[deg] -1.0385701656, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 38, GPS_0 seconds[-] 14, ;
System Uptime[ms] 72156,System VBATTcell0[V] 4.00,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.22,Airdata T[C] 11.65,Airdata AoA[deg] 2.35,Airdata AoS[deg] -0.39,Airdata VCAS[m/s] 2.04,Airdata VTAS[m/s] 2.04,BMP280_0 P[Pa] 100203.64, BMP280_0 Tpackage[C] 19.95, HTU21DF_0 RH[%] 77.13, HTU21DF_0 Tpackage[C] 18.70, D6F-PH0025AD1_0 q[Pa] 2.58, D6F-PH0025AD1_0 Tpackage[C] 17.30, D6F-PH0025AD1_1 q[Pa] 2.44, D6F-PH0025AD1_1 Tpackage[C] 17.80, D6F-PH0025AD1_2 q[Pa] 2.94, D6F-PH0025AD1_2 Tpackage[C] 17.50, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.12, GPS_0 satellites[-] -1, GPS_0 latitude[deg] 51.1873397827, GPS_0 longitude[deg] -1.0385706425, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 38, GPS_0 seconds[-] 15, ;
