System Uptime[ms] 41949,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.85,System VBATTcell2[V] 3.86,Airdata rho[kg/m3] 1.20,Airdata T[C] 17.94,Airdata AoA[deg] -0.25,Airdata AoS[deg] -2.14,Airdata VCAS[m/s] 2.52,Airdata VTAS[m/s] 2.55,BMP280_0 P[Pa] 100246.03, BMP280_0 Tpackage[C] 26.24, HTU21DF_0 RH[%] 52.11, HTU21DF_0 Tpackage[C] 25.82, D6F-PH0025AD1_0 q[Pa] 3.60, D6F-PH0025AD1_0 Tpackage[C] 20.60, D6F-PH0025AD1_1 q[Pa] 3.43, D6F-PH0025AD1_1 Tpackage[C] 20.80, D6F-PH0025AD1_2 q[Pa] 3.97, D6F-PH0025AD1_2 Tpackage[C] 19.80, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873130798, GPS_0 longitude[deg] -1.0388946533, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 11, GPS_0 seconds[-] 30, ;
System Uptime[ms] 42406,System VBATTcell0[V] 3.92,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.86,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.95,Airdata AoA[deg] -0.64,Airdata AoS[deg] -0.73,Airdata VCAS[m/s] 2.50,Airdata VTAS[m/s] 2.53,BMP280_0 P[Pa] 100242.63, BMP280_0 Tpackage[C] 26.25, HTU21DF_0 RH[%] 52.17, HTU21DF_0 Tpackage[C] 25.83, D6F-PH0025AD1_0 q[Pa] 3.70, D6F-PH0025AD1_0 Tpackage[C] 20.60, D6F-PH0025AD1_1 q[Pa] 3.59, D6F-PH0025AD1_1 Tpackage[C] 20.80, D6F-PH0025AD1_2 q[Pa] 3.71, D6F-PH0025AD1_2 Tpackage[C] 20.00, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873130798, GPS_0 longitude[deg] -1.0388946533, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 11, GPS_0 seconds[-] 30, ;
System Uptime[ms] 42863,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.85,System VBATTcell2[V] 3.86,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.96,Airdata AoA[deg] -6.05,Airdata AoS[deg] -5.11,Airdata VCAS[m/s] 2.45,Airdata VTAS[m/s] 2.48,BMP280_0 P[Pa] 100242.62, BMP280_0 Tpackage[C] 26.26, HTU21DF_0 RH[%] 52.17, HTU21DF_0 Tpackage[C] 25.84, D6F-PH0025AD1_0 q[Pa] 3.04, D6F-PH0025AD1_0 Tpackage[C] 20.60, D6F-PH0025AD1_1 q[Pa] 2.63, D6F-PH0025AD1_1 Tpackage[C] 20.80, D6F-PH0025AD1_2 q[Pa] 3.15, D6F-PH0025AD1_2 Tpackage[C] 19.80, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873130798, GPS_0 longitude[deg] -1.0388951302, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 11, GPS_0 seconds[-] 31, ;
System Uptime[ms] 43320,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.85,System VBATTcell2[V] 3.86,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.96,Airdata AoA[deg] -1.51,Airdata AoS[deg] -2.93,Airdata VCAS[m/s] 2.34,Airdata VTAS[m/s] 2.37,BMP280_0 P[Pa] 100241.78, BMP280_0 Tpackage[C] 26.26, HTU21DF_0 RH[%] 52.15, HTU21DF_0 Tpackage[C] 25.86, D6F-PH0025AD1_0 q[Pa] 2.98, D6F-PH0025AD1_0 Tpackage[C] 20.60, D6F-PH0025AD1_1 q[Pa] 2.80, D6F-PH0025AD1_1 Tpackage[C] 20.80, D6F-PH0025AD1_2 q[Pa] 3.30, D6F-PH0025AD1_2 Tpackage[C] 19.80, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873130798, GPS_0 longitude[deg] -1.0388951302, GPS_0 year[-] -1, GPS_0 month[-] -1, GPS_0 day[-] -1, GPS_0 hours[-] 7, GPS_0 minutes[-] 11, GPS_0 seconds[-] 31, ;
System Uptime[ms] 43776,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.85,System VBATTcell2[V] 3.85,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.97,Airdata AoA[deg] -6.01,Airdata AoS[deg] -3.52,Airdata VCAS[m/s] 2.29,Airdata VTAS[m/s] 2.32,BMP280_0 P[Pa] 100243.13, BMP280_0 Tpackage[C] 26.27, HTU21DF_0 RH[%] 52.19, HTU21DF_0 Tpackage[C] 25.87, D6F-PH0025AD1_0 q[Pa] 3.04, D6F-PH0025AD1_0 Tpackage[C] 20.60, D6F-PH0025AD1_1 q[Pa] 2.53, D6F-PH0025AD1_1 Tpackage[C] 20.80, D6F-PH0025AD1_2 q[Pa] 2.57, D6F-PH0025AD1_2 Tpackage[C] 20.00, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873130798, GPS_0 longitude[deg] -1.0388953686, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 11, GPS_0 seconds[-] 32, ;
System Uptime[ms] 44258,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.85,System VBATTcell2[V] 3.86,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.99,Airdata AoA[deg] -11.26,Airdata AoS[deg] -13.34,Airdata VCAS[m/s] 2.19,Airdata VTAS[m/s] 2.21,BMP280_0 P[Pa] 100244.11, BMP280_0 Tpackage[C] 26.29, HTU21DF_0 RH[%] 52.24, HTU21DF_0 Tpackage[C] 25.88, D6F-PH0025AD1_0 q[Pa] 1.90, D6F-PH0025AD1_0 Tpackage[C] 20.60, D6F-PH0025AD1_1 q[Pa] 1.37, D6F-PH0025AD1_1 Tpackage[C] 20.80, D6F-PH0025AD1_2 q[Pa] 2.68, D6F-PH0025AD1_2 Tpackage[C] 20.00, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873130798, GPS_0 longitude[deg] -1.0388953686, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 11, GPS_0 seconds[-] 32, ;
System Uptime[ms] 44715,System VBATTcell0[V] 3.92,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.86,Airdata rho[kg/m3] 1.19,Airdata T[C] 17.99,Airdata AoA[deg] 4.60,Airdata AoS[deg] 3.69,Airdata VCAS[m/s] 2.13,Airdata VTAS[m/s] 2.15,BMP280_0 P[Pa] 100243.98, BMP280_0 Tpackage[C] 26.29, HTU21DF_0 RH[%] 52.36, HTU21DF_0 Tpackage[C] 25.88, D6F-PH0025AD1_0 q[Pa] 3.09, D6F-PH0025AD1_0 Tpackage[C] 20.60, D6F-PH0025AD1_1 q[Pa] 3.16, D6F-PH0025AD1_1 Tpackage[C] 20.60, D6F-PH0025AD1_2 q[Pa] 3.10, D6F-PH0025AD1_2 Tpackage[C] 20.00, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873130798, GPS_0 longitude[deg] -1.0388953686, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 11, GPS_0 seconds[-] 32, ;
System Uptime[ms] 45172,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.85,System VBATTcell2[V] 3.86,Airdata rho[kg/m3] 1.19,Airdata T[C] 18.00,Airdata AoA[deg] -15.12,Airdata AoS[deg] -13.22,Airdata VCAS[m/s] 2.13,Airdata VTAS[m/s] 2.16,BMP280_0 P[Pa] 100243.23, BMP280_0 Tpackage[C] 26.30, HTU21DF_0 RH[%] 52.36, HTU21DF_0 Tpackage[C] 25.89, D6F-PH0025AD1_0 q[Pa] 2.00, D6F-PH0025AD1_0 Tpackage[C] 20.60, D6F-PH0025AD1_1 q[Pa] 1.37, D6F-PH0025AD1_1 Tpackage[C] 20.80, D6F-PH0025AD1_2 q[Pa] 2.22, D6F-PH0025AD1_2 Tpackage[C] 20.00, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873130798, GPS_0 longitude[deg] -1.0388957262, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 11, GPS_0 seconds[-] 33, ;
System Uptime[ms] 45629,System VBATTcell0[V] 3.92,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.86,Airdata rho[kg/m3] 1.19,Airdata T[C] 18.00,Airdata AoA[deg] 8.91,Airdata AoS[deg] 2.29,Airdata VCAS[m/s] 1.98,Airdata VTAS[m/s] 2.01,BMP280_0 P[Pa] 100243.64, BMP280_0 Tpackage[C] 26.30, HTU21DF_0 RH[%] 52.56, HTU21DF_0 Tpackage[C] 25.89, D6F-PH0025AD1_0 q[Pa] 2.21, D6F-PH0025AD1_0 Tpackage[C] 20.60, D6F-PH0025AD1_1 q[Pa] 2.63, D6F-PH0025AD1_1 Tpackage[C] 20.60, D6F-PH0025AD1_2 q[Pa] 3.15, D6F-PH0025AD1_2 Tpackage[C] 20.00, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873130798, GPS_0 longitude[deg] -1.0388957262, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 11, GPS_0 seconds[-] 33, ;
System Uptime[ms] 46086,System VBATTcell0[V] 3.92,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.86,Airdata rho[kg/m3] 1.19,Airdata T[C] 18.02,Airdata AoA[deg] 0.74,Airdata AoS[deg] -6.34,Airdata VCAS[m/s] 2.04,Airdata VTAS[m/s] 2.06,BMP280_0 P[Pa] 100241.70, BMP280_0 Tpackage[C] 26.32, HTU21DF_0 RH[%] 52.72, HTU21DF_0 Tpackage[C] 25.91, D6F-PH0025AD1_0 q[Pa] 2.42, D6F-PH0025AD1_0 Tpackage[C] 20.60, D6F-PH0025AD1_1 q[Pa] 1.75, D6F-PH0025AD1_1 Tpackage[C] 20.80, D6F-PH0025AD1_2 q[Pa] 2.93, D6F-PH0025AD1_2 Tpackage[C] 20.00, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873130798, GPS_0 longitude[deg] -1.0388962030, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 7, GPS_0 minutes[-] 11, GPS_0 seconds[-] 34, ;
