System Uptime[ms] 29885,System VBATTcell0[V] 4.10,System VBATTcell1[V] 4.06,System VBATTcell2[V] 4.01,Airdata rho[kg/m3] 1.20,Airdata T[C] 14.79,Airdata AoA[deg] 19.44,Airdata AoS[deg] -24.56,Airdata VCAS[m/s] 1.06,Airdata VTAS[m/s] 1.07,BMP280_0 P[Pa] 99884.63,BMP280_0 Tpackage[C] 23.09,HTU21DF_0 RH[%] 71.01,HTU21DF_0 Tpackage[C] 21.63,D6F-PH0025AD1_0 q[Pa] 0.40,D6F-PH0025AD1_0 Tpackage[C] 18.30,D6F-PH0025AD1_1 q[Pa] 0.00,D6F-PH0025AD1_1 Tpackage[C] 18.80,D6F-PH0025AD1_2 q[Pa] 1.58,D6F-PH0025AD1_2 Tpackage[C] 17.90,VL53L1X_0 s[m] 0.07,GPS_0 satellites[-] 0,GPS_0 latitude[deg] 51.1877136230,GPS_0 longitude[deg] -1.0228918791,GPS_0 year[-] -1,GPS_0 month[-] -1,GPS_0 day[-] -1,GPS_0 hours[-] 6,GPS_0 minutes[-] 46,GPS_0 seconds[-] 13,GPS_0 speed[m/s] 0.02,GPS_0 course[deg] 346.5,;
System Uptime[ms] 30382,System VBATTcell0[V] 4.10,System VBATTcell1[V] 4.05,System VBATTcell2[V] 4.02,Airdata rho[kg/m3] 1.20,Airdata T[C] 14.82,Airdata AoA[deg] -24.52,Airdata AoS[deg] -15.98,Airdata VCAS[m/s] 1.32,Airdata VTAS[m/s] 1.33,BMP280_0 P[Pa] 99900.45,BMP280_0 Tpackage[C] 23.12,HTU21DF_0 RH[%] 69.84,HTU21DF_0 Tpackage[C] 21.64,D6F-PH0025AD1_0 q[Pa] 1.77,D6F-PH0025AD1_0 Tpackage[C] 18.60,D6F-PH0025AD1_1 q[Pa] 0.43,D6F-PH0025AD1_1 Tpackage[C] 18.80,D6F-PH0025AD1_2 q[Pa] 0.61,D6F-PH0025AD1_2 Tpackage[C] 17.90,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 0,GPS_0 latitude[deg] 51.1877136230,GPS_0 longitude[deg] -1.0228935480,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 6,GPS_0 minutes[-] 46,GPS_0 seconds[-] 14,GPS_0 speed[m/s] 0.01,GPS_0 course[deg] 346.5,;
System Uptime[ms] 30839,System VBATTcell0[V] 4.10,System VBATTcell1[V] 4.06,System VBATTcell2[V] 4.01,Airdata rho[kg/m3] 1.20,Airdata T[C] 14.83,Airdata AoA[deg] -39.16,Airdata AoS[deg] -24.56,Airdata VCAS[m/s] 1.30,Airdata VTAS[m/s] 1.31,BMP280_0 P[Pa] 99902.41,BMP280_0 Tpackage[C] 23.13,HTU21DF_0 RH[%] 68.61,HTU21DF_0 Tpackage[C] 21.65,D6F-PH0025AD1_0 q[Pa] 0.66,D6F-PH0025AD1_0 Tpackage[C] 18.60,D6F-PH0025AD1_1 q[Pa] 0.00,D6F-PH0025AD1_1 Tpackage[C] 18.60,D6F-PH0025AD1_2 q[Pa] 0.35,D6F-PH0025AD1_2 Tpackage[C] 17.90,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 0,GPS_0 latitude[deg] 51.1877136230,GPS_0 longitude[deg] -1.0228935480,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 6,GPS_0 minutes[-] 46,GPS_0 seconds[-] 14,GPS_0 speed[m/s] 0.01,GPS_0 course[deg] 346.5,;
System Uptime[ms] 31296,System VBATTcell0[V] 4.10,System VBATTcell1[V] 4.07,System VBATTcell2[V] 4.01,Airdata rho[kg/m3] 1.20,Airdata T[C] 14.86,Airdata AoA[deg] -30.74,Airdata AoS[deg] -20.32,Airdata VCAS[m/s] 1.06,Airdata VTAS[m/s] 1.06,BMP280_0 P[Pa] 99902.75,BMP280_0 Tpackage[C] 23.16,HTU21DF_0 RH[%] 68.24,HTU21DF_0 Tpackage[C] 21.66,D6F-PH0025AD1_0 q[Pa] 0.61,D6F-PH0025AD1_0 Tpackage[C] 18.60,D6F-PH0025AD1_1 q[Pa] 0.00,D6F-PH0025AD1_1 Tpackage[C] 18.80,D6F-PH0025AD1_2 q[Pa] 0.30,D6F-PH0025AD1_2 Tpackage[C] 18.10,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 8,GPS_0 latitude[deg] 51.1877136230,GPS_0 longitude[deg] -1.0228936672,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 6,GPS_0 minutes[-] 46,GPS_0 seconds[-] 15,GPS_0 speed[m/s] 0.01,GPS_0 course[deg] 346.5,;
System Uptime[ms] 31753,System VBATTcell0[V] 4.10,System VBATTcell1[V] 4.07,System VBATTcell2[V] 4.01,Airdata rho[kg/m3] 1.20,Airdata T[C] 14.87,Airdata AoA[deg] -40.70,Airdata AoS[deg] -21.00,Airdata VCAS[m/s] 0.89,Airdata VTAS[m/s] 0.90,BMP280_0 P[Pa] 99901.73,BMP280_0 Tpackage[C] 23.17,HTU21DF_0 RH[%] 67.81,HTU21DF_0 Tpackage[C] 21.67,D6F-PH0025AD1_0 q[Pa] 0.00,D6F-PH0025AD1_0 Tpackage[C] 18.30,D6F-PH0025AD1_1 q[Pa] 0.00,D6F-PH0025AD1_1 Tpackage[C] 18.60,D6F-PH0025AD1_2 q[Pa] 0.00,D6F-PH0025AD1_2 Tpackage[C] 18.10,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 8,GPS_0 latitude[deg] 51.1877136230,GPS_0 longitude[deg] -1.0228936672,GPS_0 year[-] -1,GPS_0 month[-] -1,GPS_0 day[-] -1,GPS_0 hours[-] 6,GPS_0 minutes[-] 46,GPS_0 seconds[-] 15,GPS_0 speed[m/s] 0.01,GPS_0 course[deg] 346.5,;
System Uptime[ms] 32210,System VBATTcell0[V] 4.10,System VBATTcell1[V] 4.06,System VBATTcell2[V] 4.01,Airdata rho[kg/m3] 1.20,Airdata T[C] 14.89,Airdata AoA[deg] 3.16,Airdata AoS[deg] -16.36,Airdata VCAS[m/s] 0.62,Airdata VTAS[m/s] 0.63,BMP280_0 P[Pa] 99901.11,BMP280_0 Tpackage[C] 23.19,HTU21DF_0 RH[%] 67.35,HTU21DF_0 Tpackage[C] 21.72,D6F-PH0025AD1_0 q[Pa] 0.00,D6F-PH0025AD1_0 Tpackage[C] 18.30,D6F-PH0025AD1_1 q[Pa] 0.00,D6F-PH0025AD1_1 Tpackage[C] 18.60,D6F-PH0025AD1_2 q[Pa] 0.45,D6F-PH0025AD1_2 Tpackage[C] 17.90,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 8,GPS_0 latitude[deg] 51.1877136230,GPS_0 longitude[deg] -1.0228936672,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 6,GPS_0 minutes[-] 46,GPS_0 seconds[-] 16,GPS_0 speed[m/s] 0.04,GPS_0 course[deg] 346.5,;
System Uptime[ms] 32692,System VBATTcell0[V] 4.10,System VBATTcell1[V] 4.07,System VBATTcell2[V] 4.01,Airdata rho[kg/m3] 1.20,Airdata T[C] 14.90,Airdata AoA[deg] 4.24,Airdata AoS[deg] -14.56,Airdata VCAS[m/s] 0.57,Airdata VTAS[m/s] 0.58,BMP280_0 P[Pa] 99901.61,BMP280_0 Tpackage[C] 23.20,HTU21DF_0 RH[%] 66.83,HTU21DF_0 Tpackage[C] 21.73,D6F-PH0025AD1_0 q[Pa] 0.00,D6F-PH0025AD1_0 Tpackage[C] 18.60,D6F-PH0025AD1_1 q[Pa] 0.00,D6F-PH0025AD1_1 Tpackage[C] 18.80,D6F-PH0025AD1_2 q[Pa] 0.40,D6F-PH0025AD1_2 Tpackage[C] 18.10,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 8,GPS_0 latitude[deg] 51.1877136230,GPS_0 longitude[deg] -1.0228936672,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 6,GPS_0 minutes[-] 46,GPS_0 seconds[-] 16,GPS_0 speed[m/s] 0.04,GPS_0 course[deg] 346.5,;
System Uptime[ms] 33149,System VBATTcell0[V] 4.10,System VBATTcell1[V] 4.07,System VBATTcell2[V] 4.01,Airdata rho[kg/m3] 1.20,Airdata T[C] 14.92,Airdata AoA[deg] -23.06,Airdata AoS[deg] -18.20,Airdata VCAS[m/s] 0.78,Airdata VTAS[m/s] 0.78,BMP280_0 P[Pa] 99899.36,BMP280_0 Tpackage[C] 23.22,HTU21DF_0 RH[%] 66.22,HTU21DF_0 Tpackage[C] 21.75,D6F-PH0025AD1_0 q[Pa] 1.11,D6F-PH0025AD1_0 Tpackage[C] 18.60,D6F-PH0025AD1_1 q[Pa] 0.00,D6F-PH0025AD1_1 Tpackage[C] 18.80,D6F-PH0025AD1_2 q[Pa] 0.25,D6F-PH0025AD1_2 Tpackage[C] 18.10,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 8,GPS_0 latitude[deg] 51.1877136230,GPS_0 longitude[deg] -1.0228936672,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 6,GPS_0 minutes[-] 46,GPS_0 seconds[-] 16,GPS_0 speed[m/s] 0.04,GPS_0 course[deg] 346.5,;
System Uptime[ms] 33606,System VBATTcell0[V] 4.10,System VBATTcell1[V] 4.06,System VBATTcell2[V] 4.01,Airdata rho[kg/m3] 1.20,Airdata T[C] 14.94,Airdata AoA[deg] 14.14,Airdata AoS[deg] -15.25,Airdata VCAS[m/s] 0.66,Airdata VTAS[m/s] 0.66,BMP280_0 P[Pa] 99899.37,BMP280_0 Tpackage[C] 23.24,HTU21DF_0 RH[%] 66.00,HTU21DF_0 Tpackage[C] 21.77,D6F-PH0025AD1_0 q[Pa] 0.00,D6F-PH0025AD1_0 Tpackage[C] 18.60,D6F-PH0025AD1_1 q[Pa] 0.00,D6F-PH0025AD1_1 Tpackage[C] 18.60,D6F-PH0025AD1_2 q[Pa] 0.66,D6F-PH0025AD1_2 Tpackage[C] 18.10,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 8,GPS_0 latitude[deg] 51.1877136230,GPS_0 longitude[deg] -1.0228936672,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 6,GPS_0 minutes[-] 46,GPS_0 seconds[-] 17,GPS_0 speed[m/s] 0.03,GPS_0 course[deg] 346.5,;
System Uptime[ms] 34063,System VBATTcell0[V] 4.10,System VBATTcell1[V] 4.07,System VBATTcell2[V] 4.01,Airdata rho[kg/m3] 1.20,Airdata T[C] 14.95,Airdata AoA[deg] 74.26,Airdata AoS[deg] -17.10,Airdata VCAS[m/s] 1.58,Airdata VTAS[m/s] 1.59,BMP280_0 P[Pa] 99899.91,BMP280_0 Tpackage[C] 23.25,HTU21DF_0 RH[%] 65.85,HTU21DF_0 Tpackage[C] 21.79,D6F-PH0025AD1_0 q[Pa] 0.00,D6F-PH0025AD1_0 Tpackage[C] 18.60,D6F-PH0025AD1_1 q[Pa] 0.00,D6F-PH0025AD1_1 Tpackage[C] 18.60,D6F-PH0025AD1_2 q[Pa] 4.75,D6F-PH0025AD1_2 Tpackage[C] 18.10,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 8,GPS_0 latitude[deg] 51.1877136230,GPS_0 longitude[deg] -1.0228936672,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 6,GPS_0 minutes[-] 46,GPS_0 seconds[-] 17,GPS_0 speed[m/s] 0.03,GPS_0 course[deg] 346.5,;
