System Uptime[ms] 3109,System VBATTcell0[V] 4.12,System VBATTcell1[V] 4.05,System VBATTcell2[V] 4.05,Airdata rho[kg/m3] 1.23,Airdata T[C] 8.62,Airdata AoA[deg] 12.57,Airdata AoS[deg] -21.52,Airdata VCAS[m/s] 3.05,Airdata VTAS[m/s] 3.04,BMP280_0 P[Pa] 99879.44,BMP280_0 Tpackage[C] 16.92,HTU21DF_0 RH[%] 79.27,HTU21DF_0 Tpackage[C] 15.57,D6F-PH0025AD1_0 q[Pa] 4.01,D6F-PH0025AD1_0 Tpackage[C] 14.00,D6F-PH0025AD1_1 q[Pa] 3.30,D6F-PH0025AD1_1 Tpackage[C] 14.70,D6F-PH0025AD1_2 q[Pa] 7.18,D6F-PH0025AD1_2 Tpackage[C] 14.80,VL53L1X_0 s[m] 0.07,GPS_0 satellites[-] -1,GPS_0 latitude[deg] nan,GPS_0 longitude[deg] nan,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 5,GPS_0 minutes[-] 55,GPS_0 seconds[-] 41,GPS_0 speed[m/s] nan,GPS_0 course[deg] nan,;
System Uptime[ms] 3490,System VBATTcell0[V] 4.12,System VBATTcell1[V] 4.05,System VBATTcell2[V] 4.05,Airdata rho[kg/m3] 1.23,Airdata T[C] 8.63,Airdata AoA[deg] 23.02,Airdata AoS[deg] -9.52,Airdata VCAS[m/s] 2.97,Airdata VTAS[m/s] 2.96,BMP280_0 P[Pa] 99882.78,BMP280_0 Tpackage[C] 16.93,HTU21DF_0 RH[%] 79.22,HTU21DF_0 Tpackage[C] 15.58,D6F-PH0025AD1_0 q[Pa] 3.96,D6F-PH0025AD1_0 Tpackage[C] 14.30,D6F-PH0025AD1_1 q[Pa] 4.11,D6F-PH0025AD1_1 Tpackage[C] 14.70,D6F-PH0025AD1_2 q[Pa] 7.20,D6F-PH0025AD1_2 Tpackage[C] 14.70,VL53L1X_0 s[m] 0.07,GPS_0 satellites[-] -1,GPS_0 latitude[deg] nan,GPS_0 longitude[deg] nan,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 5,GPS_0 minutes[-] 55,GPS_0 seconds[-] 42,GPS_0 speed[m/s] nan,GPS_0 course[deg] nan,;
System Uptime[ms] 3843,System VBATTcell0[V] 4.12,System VBATTcell1[V] 4.05,System VBATTcell2[V] 4.05,Airdata rho[kg/m3] 1.23,Airdata T[C] 8.64,Airdata AoA[deg] 14.34,Airdata AoS[deg] -21.64,Airdata VCAS[m/s] 3.15,Airdata VTAS[m/s] 3.14,BMP280_0 P[Pa] 99883.25,BMP280_0 Tpackage[C] 16.94,HTU21DF_0 RH[%] 79.13,HTU21DF_0 Tpackage[C] 15.58,D6F-PH0025AD1_0 q[Pa] 4.60,D6F-PH0025AD1_0 Tpackage[C] 14.30,D6F-PH0025AD1_1 q[Pa] 3.35,D6F-PH0025AD1_1 Tpackage[C] 14.70,D6F-PH0025AD1_2 q[Pa] 7.80,D6F-PH0025AD1_2 Tpackage[C] 14.80,VL53L1X_0 s[m] 0.07,GPS_0 satellites[-] -1,GPS_0 latitude[deg] nan,GPS_0 longitude[deg] nan,GPS_0 year[-] -1,GPS_0 month[-] -1,GPS_0 day[-] -1,GPS_0 hours[-] 5,GPS_0 minutes[-] 55,GPS_0 seconds[-] 42,GPS_0 speed[m/s] nan,GPS_0 course[deg] nan,;
System Uptime[ms] 4197,System VBATTcell0[V] 4.12,System VBATTcell1[V] 4.05,System VBATTcell2[V] 4.05,Airdata rho[kg/m3] 1.23,Airdata T[C] 8.65,Airdata AoA[deg] 16.59,Airdata AoS[deg] -6.24,Airdata VCAS[m/s] 3.12,Airdata VTAS[m/s] 3.11,BMP280_0 P[Pa] 99883.73,BMP280_0 Tpackage[C] 16.95,HTU21DF_0 RH[%] 78.98,HTU21DF_0 Tpackage[C] 15.58,D6F-PH0025AD1_0 q[Pa] 5.05,D6F-PH0025AD1_0 Tpackage[C] 14.30,D6F-PH0025AD1_1 q[Pa] 4.97,D6F-PH0025AD1_1 Tpackage[C] 14.70,D6F-PH0025AD1_2 q[Pa] 7.69,D6F-PH0025AD1_2 Tpackage[C] 14.80,VL53L1X_0 s[m] 0.07,GPS_0 satellites[-] -1,GPS_0 latitude[deg] nan,GPS_0 longitude[deg] nan,GPS_0 year[-] -1,GPS_0 month[-] -1,GPS_0 day[-] -1,GPS_0 hours[-] 5,GPS_0 minutes[-] 55,GPS_0 seconds[-] 42,GPS_0 speed[m/s] nan,GPS_0 course[deg] nan,;
System Uptime[ms] 4547,System VBATTcell0[V] 4.12,System VBATTcell1[V] 4.05,System VBATTcell2[V] 4.05,Airdata rho[kg/m3] 1.23,Airdata T[C] 8.65,Airdata AoA[deg] -0.70,Airdata AoS[deg] -15.92,Airdata VCAS[m/s] 3.24,Airdata VTAS[m/s] 3.24,BMP280_0 P[Pa] 99884.53,BMP280_0 Tpackage[C] 16.95,HTU21DF_0 RH[%] 78.83,HTU21DF_0 Tpackage[C] 15.58,D6F-PH0025AD1_0 q[Pa] 5.79,D6F-PH0025AD1_0 Tpackage[C] 14.30,D6F-PH0025AD1_1 q[Pa] 3.85,D6F-PH0025AD1_1 Tpackage[C] 14.70,D6F-PH0025AD1_2 q[Pa] 7.14,D6F-PH0025AD1_2 Tpackage[C] 14.80,VL53L1X_0 s[m] 0.07,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1876182556,GPS_0 longitude[deg] -1.0254938602,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 5,GPS_0 minutes[-] 55,GPS_0 seconds[-] 43,GPS_0 speed[m/s] 0.16,GPS_0 course[deg] 0.0,;
System Uptime[ms] 4901,System VBATTcell0[V] 4.12,System VBATTcell1[V] 4.04,System VBATTcell2[V] 4.06,Airdata rho[kg/m3] 1.23,Airdata T[C] 8.66,Airdata AoA[deg] 5.47,Airdata AoS[deg] -5.05,Airdata VCAS[m/s] 3.20,Airdata VTAS[m/s] 3.19,BMP280_0 P[Pa] 99887.82,BMP280_0 Tpackage[C] 16.96,HTU21DF_0 RH[%] 78.72,HTU21DF_0 Tpackage[C] 15.60,D6F-PH0025AD1_0 q[Pa] 6.17,D6F-PH0025AD1_0 Tpackage[C] 14.30,D6F-PH0025AD1_1 q[Pa] 5.32,D6F-PH0025AD1_1 Tpackage[C] 14.70,D6F-PH0025AD1_2 q[Pa] 7.25,D6F-PH0025AD1_2 Tpackage[C] 14.80,VL53L1X_0 s[m] 0.07,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1876182556,GPS_0 longitude[deg] -1.0254938602,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 5,GPS_0 minutes[-] 55,GPS_0 seconds[-] 43,GPS_0 speed[m/s] 0.16,GPS_0 course[deg] 0.0,;
System Uptime[ms] 5253,System VBATTcell0[V] 4.12,System VBATTcell1[V] 4.05,System VBATTcell2[V] 4.06,Airdata rho[kg/m3] 1.23,Airdata T[C] 8.67,Airdata AoA[deg] 11.29,Airdata AoS[deg] -7.59,Airdata VCAS[m/s] 3.23,Airdata VTAS[m/s] 3.22,BMP280_0 P[Pa] 99887.70,BMP280_0 Tpackage[C] 16.97,HTU21DF_0 RH[%] 78.60,HTU21DF_0 Tpackage[C] 15.59,D6F-PH0025AD1_0 q[Pa] 5.54,D6F-PH0025AD1_0 Tpackage[C] 14.40,D6F-PH0025AD1_1 q[Pa] 5.08,D6F-PH0025AD1_1 Tpackage[C] 14.90,D6F-PH0025AD1_2 q[Pa] 7.99,D6F-PH0025AD1_2 Tpackage[C] 14.80,VL53L1X_0 s[m] 0.07,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1876182556,GPS_0 longitude[deg] -1.0254938602,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 5,GPS_0 minutes[-] 55,GPS_0 seconds[-] 43,GPS_0 speed[m/s] 0.16,GPS_0 course[deg] 0.0,;
System Uptime[ms] 5744,System VBATTcell0[V] 4.12,System VBATTcell1[V] 4.05,System VBATTcell2[V] 4.05,Airdata rho[kg/m3] 1.23,Airdata T[C] 8.68,Airdata AoA[deg] 18.89,Airdata AoS[deg] -8.30,Airdata VCAS[m/s] 3.30,Airdata VTAS[m/s] 3.30,BMP280_0 P[Pa] 99890.67,BMP280_0 Tpackage[C] 16.98,HTU21DF_0 RH[%] 78.44,HTU21DF_0 Tpackage[C] 15.60,D6F-PH0025AD1_0 q[Pa] 5.40,D6F-PH0025AD1_0 Tpackage[C] 14.40,D6F-PH0025AD1_1 q[Pa] 5.28,D6F-PH0025AD1_1 Tpackage[C] 14.90,D6F-PH0025AD1_2 q[Pa] 8.74,D6F-PH0025AD1_2 Tpackage[C] 14.80,VL53L1X_0 s[m] 0.07,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1876106262,GPS_0 longitude[deg] -1.0254919529,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 5,GPS_0 minutes[-] 55,GPS_0 seconds[-] 44,GPS_0 speed[m/s] 0.07,GPS_0 course[deg] 0.0,;
System Uptime[ms] 6201,System VBATTcell0[V] 4.12,System VBATTcell1[V] 4.05,System VBATTcell2[V] 4.05,Airdata rho[kg/m3] 1.23,Airdata T[C] 8.69,Airdata AoA[deg] 22.32,Airdata AoS[deg] -16.81,Airdata VCAS[m/s] 3.67,Airdata VTAS[m/s] 3.66,BMP280_0 P[Pa] 99885.11,BMP280_0 Tpackage[C] 16.99,HTU21DF_0 RH[%] 78.34,HTU21DF_0 Tpackage[C] 15.62,D6F-PH0025AD1_0 q[Pa] 6.68,D6F-PH0025AD1_0 Tpackage[C] 14.30,D6F-PH0025AD1_1 q[Pa] 5.12,D6F-PH0025AD1_1 Tpackage[C] 14.90,D6F-PH0025AD1_2 q[Pa] 10.75,D6F-PH0025AD1_2 Tpackage[C] 14.80,VL53L1X_0 s[m] 0.07,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1876106262,GPS_0 longitude[deg] -1.0254919529,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 5,GPS_0 minutes[-] 55,GPS_0 seconds[-] 44,GPS_0 speed[m/s] 0.07,GPS_0 course[deg] 0.0,;
System Uptime[ms] 6658,System VBATTcell0[V] 4.12,System VBATTcell1[V] 4.05,System VBATTcell2[V] 4.05,Airdata rho[kg/m3] 1.23,Airdata T[C] 8.71,Airdata AoA[deg] -29.16,Airdata AoS[deg] -23.09,Airdata VCAS[m/s] 3.52,Airdata VTAS[m/s] 3.51,BMP280_0 P[Pa] 99887.80,BMP280_0 Tpackage[C] 17.01,HTU21DF_0 RH[%] 78.27,HTU21DF_0 Tpackage[C] 15.63,D6F-PH0025AD1_0 q[Pa] 5.65,D6F-PH0025AD1_0 Tpackage[C] 14.40,D6F-PH0025AD1_1 q[Pa] 3.36,D6F-PH0025AD1_1 Tpackage[C] 15.10,D6F-PH0025AD1_2 q[Pa] 5.00,D6F-PH0025AD1_2 Tpackage[C] 15.10,VL53L1X_0 s[m] 0.07,GPS_0 satellites[-] -1,GPS_0 latitude[deg] 51.1875991821,GPS_0 longitude[deg] -1.0254908800,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 29,GPS_0 hours[-] 5,GPS_0 minutes[-] 55,GPS_0 seconds[-] 45,GPS_0 speed[m/s] 0.08,GPS_0 course[deg] 0.0,;
