System Uptime[ms] 59787,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.14,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.34,Airdata VTAS[m/s] 2.32,BMP280_0 P[Pa] 99942.23, BMP280_0 Tpackage[C] 13.44, HTU21DF_0 RH[%] 85.82, HTU21DF_0 Tpackage[C] 12.10, D6F-PH0025AD1_0 q[Pa] 3.29, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 4.43, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.01, MPU6050_0 roll[deg] -0.89, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 60426,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.14,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.36,Airdata VTAS[m/s] 2.33,BMP280_0 P[Pa] 99946.11, BMP280_0 Tpackage[C] 13.44, HTU21DF_0 RH[%] 85.63, HTU21DF_0 Tpackage[C] 12.08, D6F-PH0025AD1_0 q[Pa] 2.65, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 4.28, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.03, MPU6050_0 roll[deg] -1.07, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 61065,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.15,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.38,Airdata VTAS[m/s] 2.36,BMP280_0 P[Pa] 99944.30, BMP280_0 Tpackage[C] 13.45, HTU21DF_0 RH[%] 85.47, HTU21DF_0 Tpackage[C] 12.11, D6F-PH0025AD1_0 q[Pa] 3.44, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 3.58, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.07, MPU6050_0 roll[deg] -1.06, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 61703,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.16,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.74,Airdata VTAS[m/s] 2.72,BMP280_0 P[Pa] 99943.95, BMP280_0 Tpackage[C] 13.46, HTU21DF_0 RH[%] 85.29, HTU21DF_0 Tpackage[C] 12.11, D6F-PH0025AD1_0 q[Pa] 7.53, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 10.25, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.08, MPU6050_0 roll[deg] -0.84, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 62367,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.16,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.54,Airdata VTAS[m/s] 3.51,BMP280_0 P[Pa] 99942.58, BMP280_0 Tpackage[C] 13.46, HTU21DF_0 RH[%] 85.19, HTU21DF_0 Tpackage[C] 12.13, D6F-PH0025AD1_0 q[Pa] 9.84, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 10.53, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.19, MPU6050_0 roll[deg] -0.71, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 63001,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.17,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 4.57,Airdata VTAS[m/s] 4.52,BMP280_0 P[Pa] 99942.08, BMP280_0 Tpackage[C] 13.47, HTU21DF_0 RH[%] 85.09, HTU21DF_0 Tpackage[C] 12.14, D6F-PH0025AD1_0 q[Pa] 17.12, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 12.93, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.08, MPU6050_0 roll[deg] -0.57, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 63640,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.18,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 4.46,Airdata VTAS[m/s] 4.42,BMP280_0 P[Pa] 99942.61, BMP280_0 Tpackage[C] 13.48, HTU21DF_0 RH[%] 85.03, HTU21DF_0 Tpackage[C] 12.15, D6F-PH0025AD1_0 q[Pa] 11.33, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 11.38, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.00, MPU6050_0 roll[deg] -0.57, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 64278,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.81,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.18,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 4.42,Airdata VTAS[m/s] 4.38,BMP280_0 P[Pa] 99937.08, BMP280_0 Tpackage[C] 13.48, HTU21DF_0 RH[%] 84.89, HTU21DF_0 Tpackage[C] 12.16, D6F-PH0025AD1_0 q[Pa] 13.93, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 8.23, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.02, MPU6050_0 roll[deg] -0.45, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 64917,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.81,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.19,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 4.22,Airdata VTAS[m/s] 4.18,BMP280_0 P[Pa] 99937.67, BMP280_0 Tpackage[C] 13.49, HTU21DF_0 RH[%] 84.70, HTU21DF_0 Tpackage[C] 12.17, D6F-PH0025AD1_0 q[Pa] 11.33, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 8.24, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.12, MPU6050_0 roll[deg] -0.05, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 65556,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.81,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.19,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 4.16,Airdata VTAS[m/s] 4.13,BMP280_0 P[Pa] 99937.56, BMP280_0 Tpackage[C] 13.49, HTU21DF_0 RH[%] 84.52, HTU21DF_0 Tpackage[C] 12.19, D6F-PH0025AD1_0 q[Pa] 10.35, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 11.52, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.20, MPU6050_0 roll[deg] -0.08, VL53L1X_0 s[m] 0.09, ;
