System Uptime[ms] 273306,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.23,Airdata T[C] 8.16,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.38,Airdata VTAS[m/s] 0.37,BMP280_0 P[Pa] 99903.70, BMP280_0 Tpackage[C] 16.46, HTU21DF_0 RH[%] 76.60, HTU21DF_0 Tpackage[C] 15.69, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 11.60, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 12.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 273980,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.23,Airdata T[C] 8.18,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.35,Airdata VTAS[m/s] 0.34,BMP280_0 P[Pa] 99901.88, BMP280_0 Tpackage[C] 16.48, HTU21DF_0 RH[%] 76.87, HTU21DF_0 Tpackage[C] 15.71, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 11.60, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 12.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.32, MPU6050_0 roll[deg] 18.32, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 274613,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.23,Airdata T[C] 8.21,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.33,Airdata VTAS[m/s] 0.34,BMP280_0 P[Pa] 99905.08, BMP280_0 Tpackage[C] 16.51, HTU21DF_0 RH[%] 77.72, HTU21DF_0 Tpackage[C] 15.73, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 11.60, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 12.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.35, MPU6050_0 roll[deg] 18.06, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 275252,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.23,Airdata T[C] 8.22,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.31,Airdata VTAS[m/s] 0.31,BMP280_0 P[Pa] 99907.08, BMP280_0 Tpackage[C] 16.52, HTU21DF_0 RH[%] 77.35, HTU21DF_0 Tpackage[C] 15.73, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 11.60, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 12.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.35, MPU6050_0 roll[deg] 18.10, VL53L1X_0 s[m] 0.08, ;
