System Uptime[ms] 54274,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.35,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.75,Airdata VTAS[m/s] 2.72,BMP280_0 P[Pa] 99928.27, BMP280_0 Tpackage[C] 12.65, HTU21DF_0 RH[%] 87.70, HTU21DF_0 Tpackage[C] 11.32, D6F-PH0025AD1_0 q[Pa] 6.40, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 6.59, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.16, MPU6050_0 roll[deg] -2.44, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 54946,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.36,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.04,Airdata VTAS[m/s] 3.01,BMP280_0 P[Pa] 99931.42, BMP280_0 Tpackage[C] 12.66, HTU21DF_0 RH[%] 87.59, HTU21DF_0 Tpackage[C] 11.32, D6F-PH0025AD1_0 q[Pa] 7.18, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 6.53, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.14, MPU6050_0 roll[deg] -2.42, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 55582,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.76,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.37,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.10,Airdata VTAS[m/s] 3.07,BMP280_0 P[Pa] 99928.52, BMP280_0 Tpackage[C] 12.67, HTU21DF_0 RH[%] 87.40, HTU21DF_0 Tpackage[C] 11.34, D6F-PH0025AD1_0 q[Pa] 5.97, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 5.72, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.15, MPU6050_0 roll[deg] -2.59, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 56221,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.38,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.03,Airdata VTAS[m/s] 3.00,BMP280_0 P[Pa] 99930.91, BMP280_0 Tpackage[C] 12.68, HTU21DF_0 RH[%] 87.21, HTU21DF_0 Tpackage[C] 11.36, D6F-PH0025AD1_0 q[Pa] 4.17, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 6.25, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.15, MPU6050_0 roll[deg] -2.93, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 56859,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.38,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.02,Airdata VTAS[m/s] 2.99,BMP280_0 P[Pa] 99930.52, BMP280_0 Tpackage[C] 12.68, HTU21DF_0 RH[%] 87.09, HTU21DF_0 Tpackage[C] 11.37, D6F-PH0025AD1_0 q[Pa] 4.84, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 5.66, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.18, MPU6050_0 roll[deg] -3.19, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 57498,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.39,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.13,Airdata VTAS[m/s] 3.10,BMP280_0 P[Pa] 99928.33, BMP280_0 Tpackage[C] 12.69, HTU21DF_0 RH[%] 87.01, HTU21DF_0 Tpackage[C] 11.39, D6F-PH0025AD1_0 q[Pa] 6.03, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 9.60, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.21, MPU6050_0 roll[deg] -3.65, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 58137,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.40,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.29,Airdata VTAS[m/s] 3.25,BMP280_0 P[Pa] 99930.30, BMP280_0 Tpackage[C] 12.70, HTU21DF_0 RH[%] 86.80, HTU21DF_0 Tpackage[C] 11.39, D6F-PH0025AD1_0 q[Pa] 8.00, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 5.46, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.20, MPU6050_0 roll[deg] -3.74, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 58776,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.41,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.26,Airdata VTAS[m/s] 3.23,BMP280_0 P[Pa] 99929.02, BMP280_0 Tpackage[C] 12.71, HTU21DF_0 RH[%] 86.58, HTU21DF_0 Tpackage[C] 11.40, D6F-PH0025AD1_0 q[Pa] 6.61, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 6.43, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.16, MPU6050_0 roll[deg] -3.89, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 59440,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.41,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.37,Airdata VTAS[m/s] 3.33,BMP280_0 P[Pa] 99929.34, BMP280_0 Tpackage[C] 12.71, HTU21DF_0 RH[%] 86.46, HTU21DF_0 Tpackage[C] 11.41, D6F-PH0025AD1_0 q[Pa] 8.66, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 7.04, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.14, MPU6050_0 roll[deg] -3.80, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 60073,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.42,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.29,Airdata VTAS[m/s] 3.25,BMP280_0 P[Pa] 99929.16, BMP280_0 Tpackage[C] 12.72, HTU21DF_0 RH[%] 86.32, HTU21DF_0 Tpackage[C] 11.43, D6F-PH0025AD1_0 q[Pa] 5.33, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 6.08, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.16, MPU6050_0 roll[deg] -3.96, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 60712,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.42,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.01,Airdata VTAS[m/s] 2.98,BMP280_0 P[Pa] 99927.80, BMP280_0 Tpackage[C] 12.72, HTU21DF_0 RH[%] 86.21, HTU21DF_0 Tpackage[C] 11.42, D6F-PH0025AD1_0 q[Pa] 1.41, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 5.41, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.18, MPU6050_0 roll[deg] -4.31, VL53L1X_0 s[m] 0.09, ;
