System Uptime[ms] 23967,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.45,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.50,Airdata VTAS[m/s] 2.48,BMP280_0 P[Pa] 99913.70, BMP280_0 Tpackage[C] 13.75, HTU21DF_0 RH[%] 84.05, HTU21DF_0 Tpackage[C] 12.51, D6F-PH0025AD1_0 q[Pa] 4.80, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 5.07, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.22, MPU6050_0 roll[deg] -1.91, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 24607,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.45,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.70,Airdata VTAS[m/s] 2.68,BMP280_0 P[Pa] 99911.41, BMP280_0 Tpackage[C] 13.75, HTU21DF_0 RH[%] 83.97, HTU21DF_0 Tpackage[C] 12.52, D6F-PH0025AD1_0 q[Pa] 6.04, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 5.52, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.14, MPU6050_0 roll[deg] -1.96, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 25245,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.46,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.85,Airdata VTAS[m/s] 2.83,BMP280_0 P[Pa] 99915.23, BMP280_0 Tpackage[C] 13.76, HTU21DF_0 RH[%] 83.87, HTU21DF_0 Tpackage[C] 12.52, D6F-PH0025AD1_0 q[Pa] 5.72, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 5.72, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.13, MPU6050_0 roll[deg] -1.93, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 25884,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.46,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.80,Airdata VTAS[m/s] 2.77,BMP280_0 P[Pa] 99916.56, BMP280_0 Tpackage[C] 13.76, HTU21DF_0 RH[%] 83.83, HTU21DF_0 Tpackage[C] 12.53, D6F-PH0025AD1_0 q[Pa] 4.21, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 3.83, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.15, MPU6050_0 roll[deg] -1.98, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 26548,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.46,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.70,Airdata VTAS[m/s] 2.68,BMP280_0 P[Pa] 99915.40, BMP280_0 Tpackage[C] 13.76, HTU21DF_0 RH[%] 83.82, HTU21DF_0 Tpackage[C] 12.55, D6F-PH0025AD1_0 q[Pa] 3.93, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 3.88, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.13, MPU6050_0 roll[deg] -1.98, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 27181,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.46,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.59,Airdata VTAS[m/s] 2.57,BMP280_0 P[Pa] 99915.58, BMP280_0 Tpackage[C] 13.76, HTU21DF_0 RH[%] 83.90, HTU21DF_0 Tpackage[C] 12.56, D6F-PH0025AD1_0 q[Pa] 3.05, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 3.54, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.15, MPU6050_0 roll[deg] -1.88, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 27821,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.46,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.60,Airdata VTAS[m/s] 2.58,BMP280_0 P[Pa] 99912.91, BMP280_0 Tpackage[C] 13.76, HTU21DF_0 RH[%] 83.89, HTU21DF_0 Tpackage[C] 12.55, D6F-PH0025AD1_0 q[Pa] 4.56, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 3.98, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.10, MPU6050_0 roll[deg] -1.78, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 28459,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.47,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.67,Airdata VTAS[m/s] 2.64,BMP280_0 P[Pa] 99914.36, BMP280_0 Tpackage[C] 13.77, HTU21DF_0 RH[%] 83.77, HTU21DF_0 Tpackage[C] 12.56, D6F-PH0025AD1_0 q[Pa] 5.04, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 5.07, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.10, MPU6050_0 roll[deg] -2.10, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 29098,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.47,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.63,Airdata VTAS[m/s] 2.61,BMP280_0 P[Pa] 99912.23, BMP280_0 Tpackage[C] 13.77, HTU21DF_0 RH[%] 83.72, HTU21DF_0 Tpackage[C] 12.56, D6F-PH0025AD1_0 q[Pa] 3.19, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 4.43, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.09, MPU6050_0 roll[deg] -2.11, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 29737,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.47,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.74,Airdata VTAS[m/s] 2.72,BMP280_0 P[Pa] 99911.91, BMP280_0 Tpackage[C] 13.77, HTU21DF_0 RH[%] 83.61, HTU21DF_0 Tpackage[C] 12.57, D6F-PH0025AD1_0 q[Pa] 5.97, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 4.96, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.09, MPU6050_0 roll[deg] -2.02, VL53L1X_0 s[m] 0.07, ;
