System Uptime[ms] 161346,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.24,Airdata T[C] 5.84,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.38,Airdata VTAS[m/s] 2.36,BMP280_0 P[Pa] 99916.31, BMP280_0 Tpackage[C] 14.14, HTU21DF_0 RH[%] 81.13, HTU21DF_0 Tpackage[C] 13.45, D6F-PH0025AD1_0 q[Pa] 3.69, D6F-PH0025AD1_0 Tpackage[C] 11.20, D6F-PH0025AD1_1 q[Pa] 3.20, D6F-PH0025AD1_1 Tpackage[C] 11.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.15, MPU6050_0 roll[deg] 0.86, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 161984,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.80,Airdata rho[kg/m3] 1.24,Airdata T[C] 5.85,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.42,Airdata VTAS[m/s] 2.40,BMP280_0 P[Pa] 99917.59, BMP280_0 Tpackage[C] 14.15, HTU21DF_0 RH[%] 81.04, HTU21DF_0 Tpackage[C] 13.47, D6F-PH0025AD1_0 q[Pa] 3.85, D6F-PH0025AD1_0 Tpackage[C] 11.00, D6F-PH0025AD1_1 q[Pa] 4.60, D6F-PH0025AD1_1 Tpackage[C] 11.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.15, MPU6050_0 roll[deg] 0.96, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 162623,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.24,Airdata T[C] 5.86,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.49,Airdata VTAS[m/s] 2.47,BMP280_0 P[Pa] 99917.19, BMP280_0 Tpackage[C] 14.16, HTU21DF_0 RH[%] 80.94, HTU21DF_0 Tpackage[C] 13.48, D6F-PH0025AD1_0 q[Pa] 4.28, D6F-PH0025AD1_0 Tpackage[C] 11.00, D6F-PH0025AD1_1 q[Pa] 4.24, D6F-PH0025AD1_1 Tpackage[C] 11.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.14, MPU6050_0 roll[deg] 0.74, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 163262,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.24,Airdata T[C] 5.87,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.47,Airdata VTAS[m/s] 2.45,BMP280_0 P[Pa] 99912.69, BMP280_0 Tpackage[C] 14.17, HTU21DF_0 RH[%] 80.91, HTU21DF_0 Tpackage[C] 13.50, D6F-PH0025AD1_0 q[Pa] 3.65, D6F-PH0025AD1_0 Tpackage[C] 11.00, D6F-PH0025AD1_1 q[Pa] 2.50, D6F-PH0025AD1_1 Tpackage[C] 11.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.12, MPU6050_0 roll[deg] 0.75, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 163926,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.24,Airdata T[C] 5.88,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.48,Airdata VTAS[m/s] 2.46,BMP280_0 P[Pa] 99917.39, BMP280_0 Tpackage[C] 14.18, HTU21DF_0 RH[%] 80.80, HTU21DF_0 Tpackage[C] 13.51, D6F-PH0025AD1_0 q[Pa] 4.56, D6F-PH0025AD1_0 Tpackage[C] 11.20, D6F-PH0025AD1_1 q[Pa] 3.65, D6F-PH0025AD1_1 Tpackage[C] 11.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.11, MPU6050_0 roll[deg] 1.06, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 164560,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.24,Airdata T[C] 5.90,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.39,Airdata VTAS[m/s] 2.37,BMP280_0 P[Pa] 99917.88, BMP280_0 Tpackage[C] 14.20, HTU21DF_0 RH[%] 80.77, HTU21DF_0 Tpackage[C] 13.52, D6F-PH0025AD1_0 q[Pa] 2.53, D6F-PH0025AD1_0 Tpackage[C] 11.20, D6F-PH0025AD1_1 q[Pa] 2.21, D6F-PH0025AD1_1 Tpackage[C] 11.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.09, MPU6050_0 roll[deg] 1.15, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 165198,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.24,Airdata T[C] 5.91,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.31,Airdata VTAS[m/s] 2.29,BMP280_0 P[Pa] 99914.80, BMP280_0 Tpackage[C] 14.21, HTU21DF_0 RH[%] 80.77, HTU21DF_0 Tpackage[C] 13.53, D6F-PH0025AD1_0 q[Pa] 2.97, D6F-PH0025AD1_0 Tpackage[C] 11.20, D6F-PH0025AD1_1 q[Pa] 2.45, D6F-PH0025AD1_1 Tpackage[C] 11.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.11, MPU6050_0 roll[deg] 1.10, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 165837,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.24,Airdata T[C] 5.92,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.31,Airdata VTAS[m/s] 2.29,BMP280_0 P[Pa] 99915.48, BMP280_0 Tpackage[C] 14.22, HTU21DF_0 RH[%] 80.75, HTU21DF_0 Tpackage[C] 13.55, D6F-PH0025AD1_0 q[Pa] 3.55, D6F-PH0025AD1_0 Tpackage[C] 11.20, D6F-PH0025AD1_1 q[Pa] 3.30, D6F-PH0025AD1_1 Tpackage[C] 11.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.12, MPU6050_0 roll[deg] 1.19, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 166476,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.24,Airdata T[C] 5.93,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.32,Airdata VTAS[m/s] 2.30,BMP280_0 P[Pa] 99917.09, BMP280_0 Tpackage[C] 14.23, HTU21DF_0 RH[%] 80.72, HTU21DF_0 Tpackage[C] 13.56, D6F-PH0025AD1_0 q[Pa] 2.87, D6F-PH0025AD1_0 Tpackage[C] 11.20, D6F-PH0025AD1_1 q[Pa] 4.24, D6F-PH0025AD1_1 Tpackage[C] 11.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.10, MPU6050_0 roll[deg] 1.30, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 167115,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.80,Airdata rho[kg/m3] 1.24,Airdata T[C] 5.95,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.31,Airdata VTAS[m/s] 2.29,BMP280_0 P[Pa] 99915.23, BMP280_0 Tpackage[C] 14.25, HTU21DF_0 RH[%] 80.74, HTU21DF_0 Tpackage[C] 13.59, D6F-PH0025AD1_0 q[Pa] 2.77, D6F-PH0025AD1_0 Tpackage[C] 11.20, D6F-PH0025AD1_1 q[Pa] 3.15, D6F-PH0025AD1_1 Tpackage[C] 11.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.12, MPU6050_0 roll[deg] 1.42, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 167754,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.24,Airdata T[C] 5.96,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.30,Airdata VTAS[m/s] 2.29,BMP280_0 P[Pa] 99914.02, BMP280_0 Tpackage[C] 14.26, HTU21DF_0 RH[%] 80.61, HTU21DF_0 Tpackage[C] 13.61, D6F-PH0025AD1_0 q[Pa] 3.02, D6F-PH0025AD1_0 Tpackage[C] 11.20, D6F-PH0025AD1_1 q[Pa] 3.35, D6F-PH0025AD1_1 Tpackage[C] 11.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.16, MPU6050_0 roll[deg] 1.62, VL53L1X_0 s[m] 0.08, ;
