System Uptime[ms] 49640,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 3.68,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.45,Airdata VTAS[m/s] 2.43,BMP280_0 P[Pa] 99881.55, BMP280_0 Tpackage[C] 11.98, HTU21DF_0 RH[%] 87.46, HTU21DF_0 Tpackage[C] 10.73, D6F-PH0025AD1_0 q[Pa] 3.19, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 3.73, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.10, MPU6050_0 roll[deg] 2.82, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 50310,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 3.68,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.38,Airdata VTAS[m/s] 2.35,BMP280_0 P[Pa] 99883.61, BMP280_0 Tpackage[C] 11.98, HTU21DF_0 RH[%] 87.38, HTU21DF_0 Tpackage[C] 10.75, D6F-PH0025AD1_0 q[Pa] 2.95, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 2.10, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.12, MPU6050_0 roll[deg] 2.88, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 50948,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 3.69,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.27,Airdata VTAS[m/s] 2.24,BMP280_0 P[Pa] 99884.75, BMP280_0 Tpackage[C] 11.99, HTU21DF_0 RH[%] 87.27, HTU21DF_0 Tpackage[C] 10.75, D6F-PH0025AD1_0 q[Pa] 1.26, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 4.28, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.13, MPU6050_0 roll[deg] 2.94, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 51587,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 3.69,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.30,Airdata VTAS[m/s] 2.28,BMP280_0 P[Pa] 99884.47, BMP280_0 Tpackage[C] 11.99, HTU21DF_0 RH[%] 87.18, HTU21DF_0 Tpackage[C] 10.78, D6F-PH0025AD1_0 q[Pa] 2.61, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 4.12, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.12, MPU6050_0 roll[deg] 2.99, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 52225,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 3.70,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.20,Airdata VTAS[m/s] 2.17,BMP280_0 P[Pa] 99883.57, BMP280_0 Tpackage[C] 12.00, HTU21DF_0 RH[%] 87.09, HTU21DF_0 Tpackage[C] 10.78, D6F-PH0025AD1_0 q[Pa] 2.42, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 1.11, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.14, MPU6050_0 roll[deg] 3.03, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 52864,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 3.71,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.13,Airdata VTAS[m/s] 2.11,BMP280_0 P[Pa] 99883.75, BMP280_0 Tpackage[C] 12.01, HTU21DF_0 RH[%] 87.07, HTU21DF_0 Tpackage[C] 10.78, D6F-PH0025AD1_0 q[Pa] 2.85, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 2.74, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.14, MPU6050_0 roll[deg] 3.08, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 53503,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 3.71,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.20,Airdata VTAS[m/s] 2.17,BMP280_0 P[Pa] 99882.05, BMP280_0 Tpackage[C] 12.01, HTU21DF_0 RH[%] 86.99, HTU21DF_0 Tpackage[C] 10.80, D6F-PH0025AD1_0 q[Pa] 3.29, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 3.83, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.14, MPU6050_0 roll[deg] 3.17, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 54142,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 3.72,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.45,Airdata VTAS[m/s] 2.42,BMP280_0 P[Pa] 99880.68, BMP280_0 Tpackage[C] 12.02, HTU21DF_0 RH[%] 86.90, HTU21DF_0 Tpackage[C] 10.80, D6F-PH0025AD1_0 q[Pa] 4.94, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 6.41, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.16, MPU6050_0 roll[deg] 3.22, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 54805,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.85,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 3.72,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.72,Airdata VTAS[m/s] 2.69,BMP280_0 P[Pa] 99881.93, BMP280_0 Tpackage[C] 12.02, HTU21DF_0 RH[%] 86.88, HTU21DF_0 Tpackage[C] 10.82, D6F-PH0025AD1_0 q[Pa] 5.28, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 5.56, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.16, MPU6050_0 roll[deg] 3.28, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 55439,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 3.73,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.87,Airdata VTAS[m/s] 2.84,BMP280_0 P[Pa] 99881.55, BMP280_0 Tpackage[C] 12.03, HTU21DF_0 RH[%] 86.86, HTU21DF_0 Tpackage[C] 10.82, D6F-PH0025AD1_0 q[Pa] 5.47, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 5.91, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.15, MPU6050_0 roll[deg] 3.34, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 56078,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 3.74,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.76,Airdata VTAS[m/s] 2.73,BMP280_0 P[Pa] 99885.19, BMP280_0 Tpackage[C] 12.04, HTU21DF_0 RH[%] 86.75, HTU21DF_0 Tpackage[C] 10.84, D6F-PH0025AD1_0 q[Pa] 3.54, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 3.58, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.14, MPU6050_0 roll[deg] 3.37, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 56717,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 3.75,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.62,Airdata VTAS[m/s] 2.59,BMP280_0 P[Pa] 99882.23, BMP280_0 Tpackage[C] 12.05, HTU21DF_0 RH[%] 86.71, HTU21DF_0 Tpackage[C] 10.84, D6F-PH0025AD1_0 q[Pa] 3.44, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 3.78, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.14, MPU6050_0 roll[deg] 3.43, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 57355,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 3.75,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.61,Airdata VTAS[m/s] 2.58,BMP280_0 P[Pa] 99882.28, BMP280_0 Tpackage[C] 12.05, HTU21DF_0 RH[%] 86.67, HTU21DF_0 Tpackage[C] 10.84, D6F-PH0025AD1_0 q[Pa] 4.50, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 3.54, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.14, MPU6050_0 roll[deg] 3.44, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 57994,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 3.75,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.58,Airdata VTAS[m/s] 2.55,BMP280_0 P[Pa] 99882.34, BMP280_0 Tpackage[C] 12.05, HTU21DF_0 RH[%] 86.67, HTU21DF_0 Tpackage[C] 10.86, D6F-PH0025AD1_0 q[Pa] 3.53, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 4.52, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.16, MPU6050_0 roll[deg] 3.46, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 58633,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 3.75,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.76,Airdata VTAS[m/s] 2.73,BMP280_0 P[Pa] 99882.17, BMP280_0 Tpackage[C] 12.05, HTU21DF_0 RH[%] 86.67, HTU21DF_0 Tpackage[C] 10.87, D6F-PH0025AD1_0 q[Pa] 6.13, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 6.58, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.16, MPU6050_0 roll[deg] 3.44, VL53L1X_0 s[m] 0.07, ;
