System Uptime[ms] 21777,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.58,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.96,Airdata VTAS[m/s] 2.93,BMP280_0 P[Pa] 99923.38, BMP280_0 Tpackage[C] 12.88, HTU21DF_0 RH[%] 84.04, HTU21DF_0 Tpackage[C] 11.48, D6F-PH0025AD1_0 q[Pa] 5.07, D6F-PH0025AD1_0 Tpackage[C] 10.10, D6F-PH0025AD1_1 q[Pa] 5.05, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.20, MPU6050_0 roll[deg] 2.50, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 22416,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.59,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.97,Airdata VTAS[m/s] 2.94,BMP280_0 P[Pa] 99921.78, BMP280_0 Tpackage[C] 12.89, HTU21DF_0 RH[%] 83.98, HTU21DF_0 Tpackage[C] 11.52, D6F-PH0025AD1_0 q[Pa] 5.60, D6F-PH0025AD1_0 Tpackage[C] 10.10, D6F-PH0025AD1_1 q[Pa] 5.21, D6F-PH0025AD1_1 Tpackage[C] 10.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.20, MPU6050_0 roll[deg] 2.54, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 23055,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.59,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.01,Airdata VTAS[m/s] 2.98,BMP280_0 P[Pa] 99920.97, BMP280_0 Tpackage[C] 12.89, HTU21DF_0 RH[%] 83.95, HTU21DF_0 Tpackage[C] 11.51, D6F-PH0025AD1_0 q[Pa] 6.28, D6F-PH0025AD1_0 Tpackage[C] 10.10, D6F-PH0025AD1_1 q[Pa] 5.66, D6F-PH0025AD1_1 Tpackage[C] 10.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.12, MPU6050_0 roll[deg] 2.58, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 23693,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.60,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.96,Airdata VTAS[m/s] 2.93,BMP280_0 P[Pa] 99922.20, BMP280_0 Tpackage[C] 12.90, HTU21DF_0 RH[%] 83.92, HTU21DF_0 Tpackage[C] 11.52, D6F-PH0025AD1_0 q[Pa] 4.64, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 4.37, D6F-PH0025AD1_1 Tpackage[C] 10.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.07, MPU6050_0 roll[deg] 2.56, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 24357,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.60,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.90,Airdata VTAS[m/s] 2.87,BMP280_0 P[Pa] 99922.09, BMP280_0 Tpackage[C] 12.90, HTU21DF_0 RH[%] 83.88, HTU21DF_0 Tpackage[C] 11.54, D6F-PH0025AD1_0 q[Pa] 4.93, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 3.82, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.05, MPU6050_0 roll[deg] 2.64, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 24991,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.60,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.71,Airdata VTAS[m/s] 2.69,BMP280_0 P[Pa] 99920.89, BMP280_0 Tpackage[C] 12.90, HTU21DF_0 RH[%] 83.85, HTU21DF_0 Tpackage[C] 11.54, D6F-PH0025AD1_0 q[Pa] 3.18, D6F-PH0025AD1_0 Tpackage[C] 10.10, D6F-PH0025AD1_1 q[Pa] 2.30, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.07, MPU6050_0 roll[deg] 2.64, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 25630,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.61,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.60,Airdata VTAS[m/s] 2.57,BMP280_0 P[Pa] 99923.85, BMP280_0 Tpackage[C] 12.91, HTU21DF_0 RH[%] 83.81, HTU21DF_0 Tpackage[C] 11.55, D6F-PH0025AD1_0 q[Pa] 4.11, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 3.08, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.04, MPU6050_0 roll[deg] 2.66, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 26269,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.61,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.36,Airdata VTAS[m/s] 2.33,BMP280_0 P[Pa] 99924.61, BMP280_0 Tpackage[C] 12.91, HTU21DF_0 RH[%] 83.79, HTU21DF_0 Tpackage[C] 11.54, D6F-PH0025AD1_0 q[Pa] 2.03, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 1.80, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.05, MPU6050_0 roll[deg] 2.69, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 26907,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.62,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.21,Airdata VTAS[m/s] 2.18,BMP280_0 P[Pa] 99918.59, BMP280_0 Tpackage[C] 12.92, HTU21DF_0 RH[%] 83.76, HTU21DF_0 Tpackage[C] 11.55, D6F-PH0025AD1_0 q[Pa] 2.61, D6F-PH0025AD1_0 Tpackage[C] 10.10, D6F-PH0025AD1_1 q[Pa] 2.45, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.03, MPU6050_0 roll[deg] 2.71, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 27546,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.62,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.29,Airdata VTAS[m/s] 2.27,BMP280_0 P[Pa] 99918.70, BMP280_0 Tpackage[C] 12.92, HTU21DF_0 RH[%] 83.76, HTU21DF_0 Tpackage[C] 11.57, D6F-PH0025AD1_0 q[Pa] 3.82, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 4.12, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.03, MPU6050_0 roll[deg] 2.78, VL53L1X_0 s[m] 0.07, ;
