System Uptime[ms] 21227,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.26,Airdata T[C] 3.42,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.15,Airdata VTAS[m/s] 2.13,BMP280_0 P[Pa] 99881.53, BMP280_0 Tpackage[C] 11.72, HTU21DF_0 RH[%] 88.67, HTU21DF_0 Tpackage[C] 10.36, D6F-PH0025AD1_0 q[Pa] 2.46, D6F-PH0025AD1_0 Tpackage[C] 10.10, D6F-PH0025AD1_1 q[Pa] 2.34, D6F-PH0025AD1_1 Tpackage[C] 10.60, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.05, MPU6050_0 roll[deg] 0.29, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 21898,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.85,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.26,Airdata T[C] 3.42,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.12,Airdata VTAS[m/s] 2.10,BMP280_0 P[Pa] 99878.75, BMP280_0 Tpackage[C] 11.72, HTU21DF_0 RH[%] 88.59, HTU21DF_0 Tpackage[C] 10.37, D6F-PH0025AD1_0 q[Pa] 2.17, D6F-PH0025AD1_0 Tpackage[C] 9.90, D6F-PH0025AD1_1 q[Pa] 3.13, D6F-PH0025AD1_1 Tpackage[C] 10.60, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.02, MPU6050_0 roll[deg] 0.45, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 22534,System VBATTcell0[V] 3.91,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 3.43,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.16,Airdata VTAS[m/s] 2.14,BMP280_0 P[Pa] 99878.75, BMP280_0 Tpackage[C] 11.73, HTU21DF_0 RH[%] 88.50, HTU21DF_0 Tpackage[C] 10.37, D6F-PH0025AD1_0 q[Pa] 3.18, D6F-PH0025AD1_0 Tpackage[C] 9.90, D6F-PH0025AD1_1 q[Pa] 3.28, D6F-PH0025AD1_1 Tpackage[C] 10.80, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.02, MPU6050_0 roll[deg] 0.41, VL53L1X_0 s[m] 0.07, ;
