System Uptime[ms] 36628,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.50,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.46,Airdata VTAS[m/s] 1.44,BMP280_0 P[Pa] 99940.02, BMP280_0 Tpackage[C] 13.80, HTU21DF_0 RH[%] 81.84, HTU21DF_0 Tpackage[C] 12.36, D6F-PH0025AD1_0 q[Pa] 1.31, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 1.45, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.03, MPU6050_0 roll[deg] 3.31, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 37267,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.50,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.45,Airdata VTAS[m/s] 1.44,BMP280_0 P[Pa] 99941.11, BMP280_0 Tpackage[C] 13.80, HTU21DF_0 RH[%] 81.59, HTU21DF_0 Tpackage[C] 12.36, D6F-PH0025AD1_0 q[Pa] 1.02, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 1.60, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.14, MPU6050_0 roll[deg] 3.20, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 37906,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.76,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.50,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.51,Airdata VTAS[m/s] 1.50,BMP280_0 P[Pa] 99941.11, BMP280_0 Tpackage[C] 13.80, HTU21DF_0 RH[%] 81.38, HTU21DF_0 Tpackage[C] 12.37, D6F-PH0025AD1_0 q[Pa] 1.74, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 2.15, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.35, MPU6050_0 roll[deg] 3.41, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 38545,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.50,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.64,Airdata VTAS[m/s] 1.63,BMP280_0 P[Pa] 99940.28, BMP280_0 Tpackage[C] 13.80, HTU21DF_0 RH[%] 81.30, HTU21DF_0 Tpackage[C] 12.38, D6F-PH0025AD1_0 q[Pa] 2.65, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 2.59, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.15, MPU6050_0 roll[deg] 3.44, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 39208,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.51,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.86,Airdata VTAS[m/s] 1.84,BMP280_0 P[Pa] 99940.67, BMP280_0 Tpackage[C] 13.81, HTU21DF_0 RH[%] 81.35, HTU21DF_0 Tpackage[C] 12.41, D6F-PH0025AD1_0 q[Pa] 3.39, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 3.69, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.29, MPU6050_0 roll[deg] 3.36, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 39842,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.52,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.03,Airdata VTAS[m/s] 2.01,BMP280_0 P[Pa] 99941.27, BMP280_0 Tpackage[C] 13.82, HTU21DF_0 RH[%] 81.46, HTU21DF_0 Tpackage[C] 12.40, D6F-PH0025AD1_0 q[Pa] 3.25, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 2.89, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.30, MPU6050_0 roll[deg] 3.41, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 40480,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.52,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.04,Airdata VTAS[m/s] 2.02,BMP280_0 P[Pa] 99941.27, BMP280_0 Tpackage[C] 13.82, HTU21DF_0 RH[%] 81.59, HTU21DF_0 Tpackage[C] 12.42, D6F-PH0025AD1_0 q[Pa] 2.57, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 2.30, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.18, MPU6050_0 roll[deg] 3.44, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 41120,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.52,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.97,Airdata VTAS[m/s] 1.95,BMP280_0 P[Pa] 99937.98, BMP280_0 Tpackage[C] 13.82, HTU21DF_0 RH[%] 81.68, HTU21DF_0 Tpackage[C] 12.42, D6F-PH0025AD1_0 q[Pa] 1.74, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 1.75, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.01, MPU6050_0 roll[deg] 3.43, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 41758,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.53,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.91,Airdata VTAS[m/s] 1.89,BMP280_0 P[Pa] 99943.06, BMP280_0 Tpackage[C] 13.83, HTU21DF_0 RH[%] 81.80, HTU21DF_0 Tpackage[C] 12.44, D6F-PH0025AD1_0 q[Pa] 1.94, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 1.55, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.08, MPU6050_0 roll[deg] 3.43, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 42397,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.54,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.84,Airdata VTAS[m/s] 1.83,BMP280_0 P[Pa] 99938.55, BMP280_0 Tpackage[C] 13.84, HTU21DF_0 RH[%] 81.96, HTU21DF_0 Tpackage[C] 12.44, D6F-PH0025AD1_0 q[Pa] 1.84, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 1.35, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.01, MPU6050_0 roll[deg] 3.58, VL53L1X_0 s[m] 0.08, ;
