System Uptime[ms] 263833,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.24,Airdata T[C] 7.86,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.98,Airdata VTAS[m/s] 1.97,BMP280_0 P[Pa] 99902.42, BMP280_0 Tpackage[C] 16.16, HTU21DF_0 RH[%] 72.98, HTU21DF_0 Tpackage[C] 15.44, D6F-PH0025AD1_0 q[Pa] 0.83, D6F-PH0025AD1_0 Tpackage[C] 11.40, D6F-PH0025AD1_1 q[Pa] 3.06, D6F-PH0025AD1_1 Tpackage[C] 12.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.37, MPU6050_0 roll[deg] 17.16, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 264503,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.23,Airdata T[C] 7.88,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.77,Airdata VTAS[m/s] 1.76,BMP280_0 P[Pa] 99902.61, BMP280_0 Tpackage[C] 16.18, HTU21DF_0 RH[%] 72.93, HTU21DF_0 Tpackage[C] 15.45, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 11.60, D6F-PH0025AD1_1 q[Pa] 2.06, D6F-PH0025AD1_1 Tpackage[C] 12.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.32, MPU6050_0 roll[deg] 17.27, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 265140,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.23,Airdata T[C] 7.90,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.66,Airdata VTAS[m/s] 1.65,BMP280_0 P[Pa] 99903.44, BMP280_0 Tpackage[C] 16.20, HTU21DF_0 RH[%] 72.87, HTU21DF_0 Tpackage[C] 15.47, D6F-PH0025AD1_0 q[Pa] 0.39, D6F-PH0025AD1_0 Tpackage[C] 11.40, D6F-PH0025AD1_1 q[Pa] 2.45, D6F-PH0025AD1_1 Tpackage[C] 12.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.28, MPU6050_0 roll[deg] 17.62, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 265779,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.23,Airdata T[C] 7.93,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.40,Airdata VTAS[m/s] 1.40,BMP280_0 P[Pa] 99902.91, BMP280_0 Tpackage[C] 16.23, HTU21DF_0 RH[%] 73.13, HTU21DF_0 Tpackage[C] 15.47, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 11.60, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 12.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.27, MPU6050_0 roll[deg] 17.45, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 266418,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.23,Airdata T[C] 7.95,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.04,Airdata VTAS[m/s] 1.04,BMP280_0 P[Pa] 99902.27, BMP280_0 Tpackage[C] 16.25, HTU21DF_0 RH[%] 73.64, HTU21DF_0 Tpackage[C] 15.48, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 11.60, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 12.10, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.23, MPU6050_0 roll[deg] 17.50, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 267057,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.23,Airdata T[C] 7.96,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.80,Airdata VTAS[m/s] 0.80,BMP280_0 P[Pa] 99902.89, BMP280_0 Tpackage[C] 16.26, HTU21DF_0 RH[%] 74.21, HTU21DF_0 Tpackage[C] 15.53, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 11.60, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 12.10, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.25, MPU6050_0 roll[deg] 17.81, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 267696,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.23,Airdata T[C] 7.98,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 0.65,Airdata VTAS[m/s] 0.65,BMP280_0 P[Pa] 99902.42, BMP280_0 Tpackage[C] 16.28, HTU21DF_0 RH[%] 74.16, HTU21DF_0 Tpackage[C] 15.52, D6F-PH0025AD1_0 q[Pa] 0.00, D6F-PH0025AD1_0 Tpackage[C] 11.40, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 12.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.31, MPU6050_0 roll[deg] 18.02, VL53L1X_0 s[m] 0.08, ;
