System Uptime[ms] 14155,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.08,Airdata AoA[deg] -2.33,Airdata AoS[deg] -4.98,Airdata VCAS[m/s] 2.02,Airdata VTAS[m/s] 2.02,BMP280_0 P[Pa] 100006.58,BMP280_0 Tpackage[C] 18.38,HTU21DF_0 RH[%] 90.17,HTU21DF_0 Tpackage[C] 16.89,D6F-PH0025AD1_0 q[Pa] 2.50,D6F-PH0025AD1_0 Tpackage[C] 15.70,D6F-PH0025AD1_1 q[Pa] 1.70,D6F-PH0025AD1_1 Tpackage[C] 16.30,D6F-PH0025AD1_2 q[Pa] 2.52,D6F-PH0025AD1_2 Tpackage[C] 16.30,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875114441,GPS_0 longitude[deg] -1.0340232849,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 45,GPS_0 seconds[-] 5,GPS_0 speed[m/s] 0.00,GPS_0 course[deg] 251.3,;
System Uptime[ms] 14612,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.09,Airdata AoA[deg] -12.62,Airdata AoS[deg] -9.99,Airdata VCAS[m/s] 1.99,Airdata VTAS[m/s] 1.99,BMP280_0 P[Pa] 100008.87,BMP280_0 Tpackage[C] 18.39,HTU21DF_0 RH[%] 89.34,HTU21DF_0 Tpackage[C] 16.90,D6F-PH0025AD1_0 q[Pa] 2.15,D6F-PH0025AD1_0 Tpackage[C] 15.90,D6F-PH0025AD1_1 q[Pa] 1.10,D6F-PH0025AD1_1 Tpackage[C] 16.50,D6F-PH0025AD1_2 q[Pa] 1.81,D6F-PH0025AD1_2 Tpackage[C] 16.50,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875114441,GPS_0 longitude[deg] -1.0340232849,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 45,GPS_0 seconds[-] 5,GPS_0 speed[m/s] 0.00,GPS_0 course[deg] 251.3,;
System Uptime[ms] 15081,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.10,Airdata AoA[deg] 1.01,Airdata AoS[deg] -16.74,Airdata VCAS[m/s] 1.90,Airdata VTAS[m/s] 1.90,BMP280_0 P[Pa] 100004.63,BMP280_0 Tpackage[C] 18.40,HTU21DF_0 RH[%] 88.65,HTU21DF_0 Tpackage[C] 16.92,D6F-PH0025AD1_0 q[Pa] 1.80,D6F-PH0025AD1_0 Tpackage[C] 15.70,D6F-PH0025AD1_1 q[Pa] 0.73,D6F-PH0025AD1_1 Tpackage[C] 16.50,D6F-PH0025AD1_2 q[Pa] 3.08,D6F-PH0025AD1_2 Tpackage[C] 16.50,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875114441,GPS_0 longitude[deg] -1.0340223312,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 45,GPS_0 seconds[-] 6,GPS_0 speed[m/s] 0.02,GPS_0 course[deg] 251.3,;
System Uptime[ms] 15538,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.11,Airdata AoA[deg] 19.16,Airdata AoS[deg] -4.47,Airdata VCAS[m/s] 2.00,Airdata VTAS[m/s] 2.00,BMP280_0 P[Pa] 100004.28,BMP280_0 Tpackage[C] 18.41,HTU21DF_0 RH[%] 88.06,HTU21DF_0 Tpackage[C] 16.92,D6F-PH0025AD1_0 q[Pa] 2.35,D6F-PH0025AD1_0 Tpackage[C] 15.70,D6F-PH0025AD1_1 q[Pa] 1.95,D6F-PH0025AD1_1 Tpackage[C] 16.30,D6F-PH0025AD1_2 q[Pa] 3.94,D6F-PH0025AD1_2 Tpackage[C] 16.50,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875114441,GPS_0 longitude[deg] -1.0340223312,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 45,GPS_0 seconds[-] 6,GPS_0 speed[m/s] 0.02,GPS_0 course[deg] 251.3,;
System Uptime[ms] 15995,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.12,Airdata AoA[deg] -5.48,Airdata AoS[deg] -17.40,Airdata VCAS[m/s] 2.08,Airdata VTAS[m/s] 2.08,BMP280_0 P[Pa] 100003.30,BMP280_0 Tpackage[C] 18.42,HTU21DF_0 RH[%] 87.37,HTU21DF_0 Tpackage[C] 16.94,D6F-PH0025AD1_0 q[Pa] 2.25,D6F-PH0025AD1_0 Tpackage[C] 15.90,D6F-PH0025AD1_1 q[Pa] 1.09,D6F-PH0025AD1_1 Tpackage[C] 16.30,D6F-PH0025AD1_2 q[Pa] 3.08,D6F-PH0025AD1_2 Tpackage[C] 16.50,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875114441,GPS_0 longitude[deg] -1.0340223312,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 45,GPS_0 seconds[-] 7,GPS_0 speed[m/s] 0.02,GPS_0 course[deg] 251.3,;
System Uptime[ms] 16477,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.13,Airdata AoA[deg] 7.51,Airdata AoS[deg] -14.96,Airdata VCAS[m/s] 2.03,Airdata VTAS[m/s] 2.03,BMP280_0 P[Pa] 100007.34,BMP280_0 Tpackage[C] 18.43,HTU21DF_0 RH[%] 86.92,HTU21DF_0 Tpackage[C] 16.95,D6F-PH0025AD1_0 q[Pa] 2.15,D6F-PH0025AD1_0 Tpackage[C] 15.70,D6F-PH0025AD1_1 q[Pa] 1.29,D6F-PH0025AD1_1 Tpackage[C] 16.50,D6F-PH0025AD1_2 q[Pa] 3.53,D6F-PH0025AD1_2 Tpackage[C] 16.50,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875114441,GPS_0 longitude[deg] -1.0340223312,GPS_0 year[-] -1,GPS_0 month[-] -1,GPS_0 day[-] -1,GPS_0 hours[-] 5,GPS_0 minutes[-] 45,GPS_0 seconds[-] 7,GPS_0 speed[m/s] 0.02,GPS_0 course[deg] 251.3,;
System Uptime[ms] 16934,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.13,Airdata AoA[deg] 6.55,Airdata AoS[deg] -10.34,Airdata VCAS[m/s] 2.06,Airdata VTAS[m/s] 2.06,BMP280_0 P[Pa] 100005.94,BMP280_0 Tpackage[C] 18.43,HTU21DF_0 RH[%] 86.46,HTU21DF_0 Tpackage[C] 16.96,D6F-PH0025AD1_0 q[Pa] 2.45,D6F-PH0025AD1_0 Tpackage[C] 15.90,D6F-PH0025AD1_1 q[Pa] 1.65,D6F-PH0025AD1_1 Tpackage[C] 16.50,D6F-PH0025AD1_2 q[Pa] 3.43,D6F-PH0025AD1_2 Tpackage[C] 16.50,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875114441,GPS_0 longitude[deg] -1.0340211391,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 45,GPS_0 seconds[-] 8,GPS_0 speed[m/s] 0.01,GPS_0 course[deg] 251.3,;
System Uptime[ms] 17391,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.14,Airdata AoA[deg] -12.19,Airdata AoS[deg] -32.22,Airdata VCAS[m/s] 2.20,Airdata VTAS[m/s] 2.20,BMP280_0 P[Pa] 100007.36,BMP280_0 Tpackage[C] 18.44,HTU21DF_0 RH[%] 86.05,HTU21DF_0 Tpackage[C] 16.99,D6F-PH0025AD1_0 q[Pa] 1.50,D6F-PH0025AD1_0 Tpackage[C] 15.90,D6F-PH0025AD1_1 q[Pa] 0.62,D6F-PH0025AD1_1 Tpackage[C] 16.50,D6F-PH0025AD1_2 q[Pa] 3.63,D6F-PH0025AD1_2 Tpackage[C] 16.50,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875114441,GPS_0 longitude[deg] -1.0340211391,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 45,GPS_0 seconds[-] 8,GPS_0 speed[m/s] 0.01,GPS_0 course[deg] 251.3,;
System Uptime[ms] 17848,System VBATTcell0[V] 4.03,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.15,Airdata AoA[deg] 11.66,Airdata AoS[deg] -8.15,Airdata VCAS[m/s] 2.03,Airdata VTAS[m/s] 2.04,BMP280_0 P[Pa] 100004.45,BMP280_0 Tpackage[C] 18.45,HTU21DF_0 RH[%] 85.75,HTU21DF_0 Tpackage[C] 17.00,D6F-PH0025AD1_0 q[Pa] 2.35,D6F-PH0025AD1_0 Tpackage[C] 15.90,D6F-PH0025AD1_1 q[Pa] 1.86,D6F-PH0025AD1_1 Tpackage[C] 16.50,D6F-PH0025AD1_2 q[Pa] 3.48,D6F-PH0025AD1_2 Tpackage[C] 16.50,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875114441,GPS_0 longitude[deg] -1.0340213776,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 45,GPS_0 seconds[-] 9,GPS_0 speed[m/s] 0.02,GPS_0 course[deg] 251.3,;
System Uptime[ms] 18305,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.23,Airdata T[C] 10.15,Airdata AoA[deg] 1.30,Airdata AoS[deg] -4.76,Airdata VCAS[m/s] 2.05,Airdata VTAS[m/s] 2.06,BMP280_0 P[Pa] 100006.48,BMP280_0 Tpackage[C] 18.45,HTU21DF_0 RH[%] 85.50,HTU21DF_0 Tpackage[C] 17.01,D6F-PH0025AD1_0 q[Pa] 2.55,D6F-PH0025AD1_0 Tpackage[C] 15.90,D6F-PH0025AD1_1 q[Pa] 2.06,D6F-PH0025AD1_1 Tpackage[C] 16.50,D6F-PH0025AD1_2 q[Pa] 2.87,D6F-PH0025AD1_2 Tpackage[C] 16.50,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875114441,GPS_0 longitude[deg] -1.0340213776,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 45,GPS_0 seconds[-] 9,GPS_0 speed[m/s] 0.02,GPS_0 course[deg] 251.3,;
