System Uptime[ms] 15013,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.69,Airdata AoA[deg] -0.36,Airdata AoS[deg] -1.79,Airdata VCAS[m/s] 2.23,Airdata VTAS[m/s] 2.25,BMP280_0 P[Pa] 99999.26,BMP280_0 Tpackage[C] 22.99,HTU21DF_0 RH[%] 65.04,HTU21DF_0 Tpackage[C] 21.28,D6F-PH0025AD1_0 q[Pa] 2.97,D6F-PH0025AD1_0 Tpackage[C] 16.50,D6F-PH0025AD1_1 q[Pa] 2.68,D6F-PH0025AD1_1 Tpackage[C] 17.10,D6F-PH0025AD1_2 q[Pa] 3.08,D6F-PH0025AD1_2 Tpackage[C] 16.70,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875457764,GPS_0 longitude[deg] -1.0335949659,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 32,GPS_0 seconds[-] 58,GPS_0 speed[m/s] 0.02,GPS_0 course[deg] 0.0,;
System Uptime[ms] 15495,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.70,Airdata AoA[deg] -0.85,Airdata AoS[deg] -0.49,Airdata VCAS[m/s] 2.21,Airdata VTAS[m/s] 2.23,BMP280_0 P[Pa] 99995.83,BMP280_0 Tpackage[C] 23.00,HTU21DF_0 RH[%] 64.78,HTU21DF_0 Tpackage[C] 21.28,D6F-PH0025AD1_0 q[Pa] 2.91,D6F-PH0025AD1_0 Tpackage[C] 16.50,D6F-PH0025AD1_1 q[Pa] 2.84,D6F-PH0025AD1_1 Tpackage[C] 17.10,D6F-PH0025AD1_2 q[Pa] 2.83,D6F-PH0025AD1_2 Tpackage[C] 16.90,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875457764,GPS_0 longitude[deg] -1.0335949659,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 32,GPS_0 seconds[-] 58,GPS_0 speed[m/s] 0.02,GPS_0 course[deg] 0.0,;
System Uptime[ms] 15951,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.70,Airdata AoA[deg] -5.05,Airdata AoS[deg] -1.24,Airdata VCAS[m/s] 2.16,Airdata VTAS[m/s] 2.18,BMP280_0 P[Pa] 99995.75,BMP280_0 Tpackage[C] 23.00,HTU21DF_0 RH[%] 64.53,HTU21DF_0 Tpackage[C] 21.28,D6F-PH0025AD1_0 q[Pa] 2.26,D6F-PH0025AD1_0 Tpackage[C] 16.50,D6F-PH0025AD1_1 q[Pa] 2.58,D6F-PH0025AD1_1 Tpackage[C] 17.40,D6F-PH0025AD1_2 q[Pa] 2.12,D6F-PH0025AD1_2 Tpackage[C] 16.90,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875457764,GPS_0 longitude[deg] -1.0335954428,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 32,GPS_0 seconds[-] 59,GPS_0 speed[m/s] 0.02,GPS_0 course[deg] 0.0,;
System Uptime[ms] 16408,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.70,Airdata AoA[deg] -6.29,Airdata AoS[deg] -2.93,Airdata VCAS[m/s] 2.08,Airdata VTAS[m/s] 2.10,BMP280_0 P[Pa] 99993.38,BMP280_0 Tpackage[C] 23.00,HTU21DF_0 RH[%] 64.34,HTU21DF_0 Tpackage[C] 21.29,D6F-PH0025AD1_0 q[Pa] 2.36,D6F-PH0025AD1_0 Tpackage[C] 16.50,D6F-PH0025AD1_1 q[Pa] 2.17,D6F-PH0025AD1_1 Tpackage[C] 17.10,D6F-PH0025AD1_2 q[Pa] 2.03,D6F-PH0025AD1_2 Tpackage[C] 16.90,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875457764,GPS_0 longitude[deg] -1.0335954428,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 32,GPS_0 seconds[-] 59,GPS_0 speed[m/s] 0.02,GPS_0 course[deg] 0.0,;
System Uptime[ms] 16865,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.70,Airdata AoA[deg] -31.50,Airdata AoS[deg] -18.60,Airdata VCAS[m/s] 2.11,Airdata VTAS[m/s] 2.13,BMP280_0 P[Pa] 99997.58,BMP280_0 Tpackage[C] 23.00,HTU21DF_0 RH[%] 64.22,HTU21DF_0 Tpackage[C] 21.31,D6F-PH0025AD1_0 q[Pa] 1.30,D6F-PH0025AD1_0 Tpackage[C] 16.50,D6F-PH0025AD1_1 q[Pa] 0.89,D6F-PH0025AD1_1 Tpackage[C] 17.10,D6F-PH0025AD1_2 q[Pa] 1.27,D6F-PH0025AD1_2 Tpackage[C] 16.90,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875457764,GPS_0 longitude[deg] -1.0335954428,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 32,GPS_0 seconds[-] 0,GPS_0 speed[m/s] 0.02,GPS_0 course[deg] 0.0,;
System Uptime[ms] 17322,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.01,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.70,Airdata AoA[deg] -4.25,Airdata AoS[deg] -6.20,Airdata VCAS[m/s] 1.66,Airdata VTAS[m/s] 1.68,BMP280_0 P[Pa] 99996.16,BMP280_0 Tpackage[C] 23.00,HTU21DF_0 RH[%] 64.18,HTU21DF_0 Tpackage[C] 21.31,D6F-PH0025AD1_0 q[Pa] 1.55,D6F-PH0025AD1_0 Tpackage[C] 16.50,D6F-PH0025AD1_1 q[Pa] 1.20,D6F-PH0025AD1_1 Tpackage[C] 17.10,D6F-PH0025AD1_2 q[Pa] 1.62,D6F-PH0025AD1_2 Tpackage[C] 16.90,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875457764,GPS_0 longitude[deg] -1.0335954428,GPS_0 year[-] -1,GPS_0 month[-] -1,GPS_0 day[-] -1,GPS_0 hours[-] 5,GPS_0 minutes[-] 32,GPS_0 seconds[-] 0,GPS_0 speed[m/s] 0.02,GPS_0 course[deg] 0.0,;
System Uptime[ms] 17804,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.70,Airdata AoA[deg] -21.98,Airdata AoS[deg] -18.97,Airdata VCAS[m/s] 1.64,Airdata VTAS[m/s] 1.66,BMP280_0 P[Pa] 99999.08,BMP280_0 Tpackage[C] 23.00,HTU21DF_0 RH[%] 64.11,HTU21DF_0 Tpackage[C] 21.31,D6F-PH0025AD1_0 q[Pa] 0.90,D6F-PH0025AD1_0 Tpackage[C] 16.50,D6F-PH0025AD1_1 q[Pa] 0.32,D6F-PH0025AD1_1 Tpackage[C] 17.10,D6F-PH0025AD1_2 q[Pa] 1.27,D6F-PH0025AD1_2 Tpackage[C] 16.90,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875457764,GPS_0 longitude[deg] -1.0335946083,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 33,GPS_0 seconds[-] 1,GPS_0 speed[m/s] 0.01,GPS_0 course[deg] 0.0,;
System Uptime[ms] 18261,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.70,Airdata AoA[deg] 8.47,Airdata AoS[deg] -17.12,Airdata VCAS[m/s] 1.48,Airdata VTAS[m/s] 1.49,BMP280_0 P[Pa] 99995.63,BMP280_0 Tpackage[C] 23.00,HTU21DF_0 RH[%] 64.11,HTU21DF_0 Tpackage[C] 21.31,D6F-PH0025AD1_0 q[Pa] 1.05,D6F-PH0025AD1_0 Tpackage[C] 16.50,D6F-PH0025AD1_1 q[Pa] 0.37,D6F-PH0025AD1_1 Tpackage[C] 17.10,D6F-PH0025AD1_2 q[Pa] 2.28,D6F-PH0025AD1_2 Tpackage[C] 16.90,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875457764,GPS_0 longitude[deg] -1.0335946083,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 33,GPS_0 seconds[-] 1,GPS_0 speed[m/s] 0.01,GPS_0 course[deg] 0.0,;
System Uptime[ms] 18718,System VBATTcell0[V] 4.04,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.95,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.71,Airdata AoA[deg] 0.32,Airdata AoS[deg] -10.33,Airdata VCAS[m/s] 1.51,Airdata VTAS[m/s] 1.52,BMP280_0 P[Pa] 99996.30,BMP280_0 Tpackage[C] 23.01,HTU21DF_0 RH[%] 64.14,HTU21DF_0 Tpackage[C] 21.32,D6F-PH0025AD1_0 q[Pa] 1.50,D6F-PH0025AD1_0 Tpackage[C] 16.50,D6F-PH0025AD1_1 q[Pa] 0.78,D6F-PH0025AD1_1 Tpackage[C] 17.10,D6F-PH0025AD1_2 q[Pa] 1.72,D6F-PH0025AD1_2 Tpackage[C] 16.90,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875457764,GPS_0 longitude[deg] -1.0335946083,GPS_0 year[-] 2022,GPS_0 month[-] 7,GPS_0 day[-] 30,GPS_0 hours[-] 5,GPS_0 minutes[-] 33,GPS_0 seconds[-] 2,GPS_0 speed[m/s] 0.01,GPS_0 course[deg] 0.0,;
System Uptime[ms] 19175,System VBATTcell0[V] 4.03,System VBATTcell1[V] 4.00,System VBATTcell2[V] 3.96,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.72,Airdata AoA[deg] 18.21,Airdata AoS[deg] -8.44,Airdata VCAS[m/s] 1.62,Airdata VTAS[m/s] 1.63,BMP280_0 P[Pa] 99997.47,BMP280_0 Tpackage[C] 23.02,HTU21DF_0 RH[%] 64.17,HTU21DF_0 Tpackage[C] 21.33,D6F-PH0025AD1_0 q[Pa] 1.65,D6F-PH0025AD1_0 Tpackage[C] 16.70,D6F-PH0025AD1_1 q[Pa] 0.99,D6F-PH0025AD1_1 Tpackage[C] 17.40,D6F-PH0025AD1_2 q[Pa] 2.78,D6F-PH0025AD1_2 Tpackage[C] 16.90,VL53L1X_0 s[m] 0.08,GPS_0 satellites[-] 11,GPS_0 latitude[deg] 51.1875457764,GPS_0 longitude[deg] -1.0335946083,GPS_0 year[-] -1,GPS_0 month[-] -1,GPS_0 day[-] -1,GPS_0 hours[-] 5,GPS_0 minutes[-] 33,GPS_0 seconds[-] 2,GPS_0 speed[m/s] 0.01,GPS_0 course[deg] 0.0,;
